team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion
Northern Iowa,12,East,1.0,0.168217,0.030368,0.002443,0.000379,4.4e-05,3e-06
McNeese,12,South,1.0,0.109126,0.020373,0.001622,0.000126,1.1e-05,1e-06
North Dakota St.,14,East,1.0,0.051216,0.004883,0.000391,5e-06,0.0,0.0
Furman,15,East,1.0,0.029161,0.00243,0.00012,3e-06,0.0,0.0
Wright St.,14,Midwest,1.0,0.035602,0.002392,0.000201,5e-06,1e-06,0.0
Hofstra,13,Midwest,1.0,0.095223,0.009729,0.00072,6.6e-05,3e-06,0.0
Akron,12,Midwest,1.0,0.094627,0.015217,0.000963,0.000125,5e-06,0.0
Cal Baptist,13,East,1.0,0.079015,0.009006,0.000544,3.7e-05,5e-06,0.0
Idaho,15,South,1.0,0.031945,0.003763,0.000261,1e-05,2e-06,0.0
Howard,16,Midwest,1.0,0.025785,0.002435,0.000169,1.3e-05,0.0,0.0
Queens (N.C.),15,West,1.0,0.033875,0.00275,0.00014,4e-06,0.0,0.0
Long Island,16,West,1.0,0.024147,0.002001,0.000157,1.3e-05,0.0,0.0
Penn,14,South,1.0,0.04134,0.003447,0.00024,8e-06,1e-06,0.0
High Point,12,West,1.0,0.088263,0.011632,0.000616,6.6e-05,4e-06,0.0
Hawaii,13,West,1.0,0.094099,0.011092,0.000649,5.7e-05,2e-06,0.0
Troy,13,South,1.0,0.054545,0.003225,0.000169,1.6e-05,4e-06,0.0
Kennesaw St.,14,West,1.0,0.046873,0.00345,0.000268,1.4e-05,2e-06,0.0
Prairie View A&M,16,South,1.0,0.026156,0.002206,0.000149,1.2e-05,1e-06,0.0
Siena,16,East,1.0,0.027119,0.002247,0.000216,2.7e-05,2e-06,0.0
Tennessee St.,15,Midwest,1.0,0.030466,0.002265,0.000111,2e-06,0.0,0.0
