Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Abilene Christian,31,13,18,0.419,-13.93,-7.53,8,10,10,5,2,12,2209,2272,69.7,101.4,0.383,0.335,0.548,49.0,54.7,10.7,6.6,0.514,17.2,26.0,0.269,False
2,Air Force,32,14,18,0.438,-5.51,0.66,5,13,12,5,2,13,2189,2330,68.9,97.7,0.402,0.339,0.523,48.3,55.9,8.7,5.9,0.485,16.8,24.9,0.275,False
3,Akron,35,26,9,0.743,5.55,-1.24,13,5,15,0,6,8,2682,2381,69.2,110.4,0.312,0.506,0.553,49.9,55.7,7.8,9.8,0.528,13.6,29.0,0.214,False
4,Alabama,33,18,15,0.545,7.14,8.62,8,10,10,4,5,8,2193,2242,66.1,99.7,0.407,0.436,0.525,47.5,47.0,8.7,14.2,0.496,17.3,28.3,0.262,False
5,Alabama A&M,29,11,18,0.379,-13.47,-10.75,6,12,6,5,4,12,1974,2042,65.7,102.3,0.393,0.367,0.51,49.4,53.7,8.5,5.7,0.471,14.9,31.5,0.269,False
6,Alabama State,31,14,17,0.452,-13.11,-9.35,9,9,8,3,5,12,2217,2308,69.5,101.3,0.325,0.337,0.501,49.6,47.2,8.3,9.1,0.467,14.4,31.6,0.222,False
7,Albany (NY),33,24,9,0.727,0.93,-7.57,13,3,14,1,10,8,2495,2180,67.8,110.3,0.44,0.317,0.558,55.4,48.3,9.5,4.5,0.509,15.6,35.1,0.33,False
8,Alcorn State,30,15,15,0.5,-16.01,-9.94,13,5,9,2,6,9,2014,2164,66.5,98.9,0.4,0.335,0.5,50.8,39.4,6.6,10.3,0.46,17.6,35.0,0.271,False
9,American,31,12,19,0.387,-14.18,-6.08,9,9,5,7,7,12,1785,2036,62.0,92.2,0.317,0.385,0.522,46.8,55.2,9.1,6.3,0.49,20.0,23.5,0.221,False
10,Appalachian State,31,9,22,0.29,-7.91,-1.1,7,13,6,7,2,12,2187,2398,70.8,99.6,0.391,0.401,0.514,49.7,49.7,5.8,7.5,0.472,17.8,32.9,0.275,False
11,Arizona,34,25,9,0.735,18.79,7.23,12,6,17,1,5,5,2735,2342,69.8,112.8,0.438,0.294,0.575,56.5,51.3,6.8,11.3,0.536,15.7,34.9,0.316,True
12,Arizona State,32,15,17,0.469,8.28,8.96,5,13,11,6,3,9,2345,2367,69.8,104.2,0.378,0.394,0.518,50.4,50.9,7.6,7.3,0.481,14.5,31.5,0.26,False
