Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Air Force,28,12,16,0.429,1.71,1.46,3.0,11.0,9,4,3,10,1603,1596,,,0.43,0.523,0.597,41.4,67.9,,4.2,0.579,19.3,,0.28,False
2,Akron,28,14,14,0.5,-0.8,-1.43,9.0,9.0,10,5,4,9,2201,2155,,,0.462,0.286,0.578,46.7,56.2,,4.3,0.536,15.5,,0.337,False
3,Alabama,29,17,12,0.586,13.36,9.4,7.0,9.0,13,2,1,8,2002,1887,,,0.364,0.344,0.516,52.6,50.6,,7.0,0.476,16.4,,0.26,True
4,Alabama A&M,27,8,19,0.296,-16.71,-11.83,4.0,14.0,6,7,2,12,1962,2072,,,0.349,0.335,0.501,48.2,60.1,,3.7,0.46,20.5,,0.247,False
5,Alabama State,29,14,15,0.483,-10.33,-10.0,11.0,7.0,9,4,5,9,1860,1846,,,0.299,0.319,0.508,51.6,49.6,,6.0,0.483,21.0,,0.194,False
6,Albany (NY),28,7,21,0.25,-14.87,-5.09,3.0,13.0,5,9,2,11,1846,2120,,,0.236,0.386,0.516,41.3,49.6,,3.4,0.487,16.4,,0.173,False
7,Alcorn State,33,14,19,0.424,-12.39,-8.36,10.0,8.0,7,3,5,12,2280,2413,,,0.356,0.28,0.503,50.0,55.5,,6.0,0.469,21.2,,0.238,False
8,American,30,16,14,0.533,-1.38,-5.85,9.0,5.0,11,1,3,13,1991,1857,,,0.309,0.432,0.541,49.1,60.7,,3.2,0.515,17.6,,0.21,False
9,Appalachian State,29,19,10,0.655,-1.92,-3.46,11.0,5.0,12,2,6,7,2434,2309,,,0.399,0.34,0.543,50.4,54.1,,7.2,0.503,17.5,,0.286,False
10,Arizona,32,28,4,0.875,23.42,8.95,17.0,1.0,14,1,11,1,2725,2262,,,0.368,0.306,0.549,54.0,58.5,,6.5,0.515,15.9,,0.261,True
11,Arizona State,32,20,12,0.625,15.02,9.27,11.0,7.0,12,3,4,6,2464,2257,,,0.453,0.22,0.552,53.0,57.1,,7.7,0.518,16.4,,0.305,True
12,Arkansas,28,9,19,0.321,4.67,9.57,4.0,12.0,8,8,1,9,1726,1863,,,0.352,0.352,0.475,53.8,45.0,,6.7,0.447,20.5,,0.215,False
13,Arkansas State,28,13,15,0.464,-0.05,-1.36,6.0,8.0,9,5,3,9,2072,1918,,,0.395,0.394,0.563,47.6,51.6,,3.3,0.522,16.7,,0.294,False
14,Arkansas-Pine Bluff,28,4,24,0.143,-24.22,-4.54,4.0,14.0,2,8,2,16,1526,2077,,,0.324,0.311,0.436,41.6,52.3,,4.6,0.399,23.3,,0.208,False
15,Army,27,5,22,0.185,-19.72,-5.92,0.0,14.0,4,9,1,12,1482,1769,,,0.273,0.35,0.509,47.9,59.7,,3.4,0.481,24.1,,0.186,False
16,Auburn,34,22,12,0.647,12.68,8.35,8.0,8.0,13,4,4,5,2408,2235,,,0.362,0.303,0.543,51.5,52.0,,9.1,0.517,19.6,,0.239,True
17,Austin Peay,31,23,8,0.742,-0.84,-1.98,13.0,3.0,14,0,6,7,2204,2101,,,0.436,0.336,0.554,50.9,55.9,,8.1,0.518,19.3,,0.301,True
18,Ball State,30,13,17,0.433,-0.57,2.17,8.0,10.0,9,5,2,11,2199,2281,,,0.366,0.276,0.516,49.3,40.5,,4.1,0.473,15.3,,0.266,False
19,Baylor,28,14,14,0.5,6.05,5.44,5.0,11.0,10,6,2,7,1932,1915,,,0.302,0.458,0.52,48.1,60.2,,5.0,0.485,16.7,,0.219,False
20,Belmont,29,17,12,0.586,-2.3,-4.05,12.0,4.0,8,3,7,8,2108,2029,,,0.34,0.405,0.569,51.1,66.0,,3.2,0.542,20.9,,0.236,False
21,Bethune-Cookman,30,8,22,0.267,-19.13,-10.93,5.0,13.0,4,7,3,14,1941,2187,,,0.33,0.285,0.5,47.9,47.5,,3.3,0.464,19.7,,0.229,False
22,Binghamton,27,14,13,0.519,-4.76,-5.13,9.0,7.0,9,2,4,11,1797,1787,,,0.28,0.383,0.514,49.1,52.9,,11.3,0.487,18.9,,0.189,False
23,Birmingham-Southern,28,19,9,0.679,,,,,12,2,7,7,1958,1828,,105.6,0.434,0.439,0.567,50.8,60.8,12.1,10.9,0.528,20.3,34.8,0.312,False
24,Boise State,29,13,16,0.448,-0.97,0.07,7.0,11.0,9,7,4,8,1897,1924,,,0.367,0.315,0.497,48.1,50.3,,7.1,0.455,17.8,,0.256,False
25,Boston College,31,19,12,0.613,10.3,7.24,10.0,6.0,9,6,9,3,2462,2367,,,0.422,0.289,0.555,50.0,60.1,,4.7,0.52,15.7,,0.292,False
26,Boston University,31,20,11,0.645,1.1,-3.42,13.0,3.0,10,3,8,8,2100,1960,,,0.349,0.354,0.53,51.5,57.7,,6.6,0.489,17.3,,0.259,False
27,Bowling Green,29,13,16,0.448,-2.2,1.95,8.0,10.0,8,4,4,10,1962,2012,,,0.493,0.354,0.557,48.6,60.1,,5.0,0.506,21.5,,0.364,False
28,Bradley,30,12,18,0.4,1.12,1.19,8.0,10.0,7,7,3,10,2204,2169,,,0.413,0.313,0.538,49.5,52.0,,2.9,0.499,17.2,,0.29,False
29,Brigham Young,32,23,9,0.719,13.64,5.29,11.0,3.0,13,1,6,5,2299,2032,,,0.461,0.313,0.57,53.3,55.9,,5.0,0.521,17.8,,0.348,True
30,Brown,29,17,12,0.586,-2.33,-3.6,12.0,2.0,7,3,10,7,2144,2107,,,0.457,0.331,0.568,48.8,58.9,,6.3,0.522,19.4,,0.34,False
31,Bucknell,29,14,15,0.483,-6.61,-4.97,7.0,7.0,7,4,4,9,1687,1706,,,0.46,0.365,0.504,51.1,61.8,,4.7,0.468,21.7,,0.291,False
32,Buffalo,28,5,23,0.179,-7.96,-0.56,2.0,16.0,5,8,0,15,1815,2022,,,0.33,0.319,0.484,50.3,54.3,,3.9,0.449,17.8,,0.222,False
33,Butler,33,27,6,0.818,9.11,2.24,14.0,2.0,13,0,10,5,2229,1986,,,0.322,0.422,0.584,47.9,53.4,,3.5,0.558,15.6,,0.231,True
34,Cal Poly,30,16,14,0.533,-2.37,-1.51,10.0,8.0,7,6,6,6,2046,2057,,,0.353,0.358,0.522,49.0,52.5,,7.2,0.483,19.7,,0.253,False
35,Cal State Fullerton,29,10,19,0.345,-6.72,-2.99,8.0,10.0,6,6,4,10,1825,1933,,,0.377,0.266,0.515,51.1,51.4,,3.1,0.485,17.8,,0.244,False
