Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Air Force,28,9,19,0.321,-0.95,3.23,3.0,11.0,5.0,6.0,2.0,12.0,1605,1722,,,0.404,0.485,0.585,42.3,61.4,,3.2,0.553,22.1,,0.288,False
2,Akron,31,10,21,0.323,-4.83,0.37,5.0,13.0,6.0,6.0,3.0,9.0,2154,2304,,,0.462,0.311,0.559,47.5,58.7,,4.4,0.506,18.9,,0.35,False
3,Alabama,35,27,8,0.771,16.93,7.67,12.0,4.0,17.0,0.0,4.0,4.0,2658,2334,,,0.408,0.339,0.538,52.8,50.5,,5.6,0.492,16.5,,0.3,True
4,Alabama A&M,29,19,10,0.655,-11.32,-15.8,12.0,6.0,12.0,2.0,7.0,7.0,2318,2123,,,0.354,0.339,0.494,49.3,52.3,,6.7,0.458,17.7,,0.238,False
5,Alabama State,32,19,13,0.594,-13.25,-14.14,12.0,6.0,12.0,2.0,5.0,9.0,2095,2067,,,0.449,0.317,0.514,51.2,43.9,,4.9,0.479,20.9,,0.287,False
6,Albany (NY),28,8,20,0.286,-16.99,-8.85,5.0,11.0,5.0,7.0,3.0,12.0,1593,1821,,,0.235,0.323,0.466,47.5,48.0,,5.8,0.439,19.2,,0.157,False
7,Alcorn State,31,21,10,0.677,-11.27,-14.17,16.0,2.0,11.0,0.0,8.0,9.0,2473,2374,,,0.402,0.237,0.537,53.3,55.1,,6.4,0.51,18.9,,0.258,True
8,American,30,18,12,0.6,-4.99,-6.19,10.0,4.0,8.0,6.0,8.0,6.0,1977,1941,,,0.368,0.401,0.558,50.8,60.6,,4.8,0.523,21.4,,0.267,False
9,Appalachian State,28,10,18,0.357,-7.52,-0.64,5.0,11.0,7.0,6.0,3.0,11.0,2140,2211,,,0.414,0.283,0.526,49.5,57.2,,4.5,0.488,19.1,,0.282,False
10,Arizona,34,24,10,0.706,16.91,12.47,12.0,6.0,13.0,4.0,6.0,5.0,2793,2642,,,0.446,0.336,0.565,50.4,56.4,,4.6,0.522,16.2,,0.326,True
11,Arizona State,29,14,15,0.483,9.79,6.79,7.0,11.0,12.0,5.0,2.0,10.0,2229,2142,,,0.394,0.242,0.526,53.0,58.5,,5.1,0.496,17.1,,0.258,False
12,Arkansas,29,14,15,0.483,12.27,10.14,6.0,10.0,11.0,5.0,3.0,7.0,2171,2108,,,0.337,0.391,0.527,44.0,57.4,,6.2,0.501,16.7,,0.219,False
13,Arkansas State,31,15,16,0.484,2.13,-1.98,5.0,9.0,9.0,4.0,3.0,9.0,2259,2076,,,0.317,0.298,0.541,51.7,49.6,,9.4,0.507,18.1,,0.23,False
14,Arkansas-Pine Bluff,28,2,26,0.071,-27.48,-8.69,2.0,16.0,2.0,7.0,0.0,19.0,1852,2378,,,0.351,0.296,0.444,42.1,46.1,,3.7,0.402,20.3,,0.232,False
15,Army,28,12,16,0.429,-13.02,-7.44,6.0,8.0,8.0,6.0,4.0,9.0,1871,1962,,,0.393,0.28,0.519,47.3,50.2,,4.8,0.476,18.6,,0.281,False
16,Auburn,28,12,16,0.429,6.89,7.97,4.0,12.0,12.0,5.0,0.0,9.0,1835,1865,,,0.379,0.328,0.494,48.9,56.3,,9.3,0.47,21.3,,0.225,False
17,Austin Peay,32,14,18,0.438,-4.01,-1.01,8.0,8.0,9.0,4.0,3.0,11.0,2255,2253,,,0.393,0.338,0.532,48.3,47.7,,7.2,0.506,18.1,,0.252,False
18,Ball State,35,23,12,0.657,8.88,3.3,12.0,6.0,12.0,2.0,8.0,7.0,2731,2517,,,0.365,0.395,0.565,49.8,45.5,,6.7,0.525,15.5,,0.275,False
19,Baylor,30,14,16,0.467,6.23,5.08,4.0,12.0,12.0,4.0,1.0,10.0,2296,2166,,,0.323,0.41,0.546,47.8,64.3,,6.3,0.514,16.9,,0.232,False
20,Belmont,28,11,17,0.393,-7.1,-3.39,8.0,12.0,7.0,5.0,3.0,11.0,2020,2124,,,0.321,0.479,0.59,47.6,72.5,,2.2,0.559,21.1,,0.243,False
