Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
116,Indiana State,28,9,19,0.321,-1.76,2.02,5.0,13.0,6,8,3,9,1623,1729,,,0.317,0.359,0.499,46.8,52.4,,4.6,0.472,18.9,,0.205,False
117,Iona,29,11,18,0.379,-5.08,-1.87,8.0,10.0,7,5,2,12,2078,2171,,,0.382,0.267,0.52,50.5,57.9,,9.1,0.49,18.6,,0.25,False
118,Iowa,29,16,13,0.552,8.7,6.18,9.0,7.0,11,3,4,8,2071,1998,,,0.475,0.292,0.549,52.5,62.1,,7.7,0.514,20.0,,0.319,False
119,Iowa State,33,20,13,0.606,9.22,8.06,7.0,9.0,17,1,2,10,2461,2398,,,0.353,0.211,0.531,51.1,51.2,,7.1,0.505,17.4,,0.23,False
120,IU Indy,32,21,11,0.656,1.43,-2.41,10.0,6.0,9,4,8,6,2504,2313,,,0.438,0.355,0.559,52.2,51.6,,3.9,0.521,15.5,,0.308,False
121,Jackson State,29,12,17,0.414,-13.33,-11.09,9.0,9.0,8,1,3,15,1836,1902,,,0.424,0.313,0.483,47.8,55.4,,7.2,0.438,20.8,,0.286,False
122,Jacksonville,28,13,15,0.464,-12.12,-6.62,8.0,12.0,9,5,4,8,1988,2069,,,0.397,0.355,0.536,48.8,55.7,,10.0,0.503,21.2,,0.268,False
123,Jacksonville State,28,14,14,0.5,-8.35,-7.7,7.0,9.0,12,2,2,12,2092,2076,,,0.37,0.344,0.552,49.2,54.7,,4.6,0.528,17.3,,0.243,False
124,James Madison,28,7,21,0.25,-7.99,-1.28,3.0,15.0,5,8,2,12,1816,2004,,,0.291,0.345,0.498,45.4,51.1,,4.7,0.466,16.7,,0.201,False
125,Kansas,33,24,9,0.727,17.1,9.44,12.0,4.0,13,1,5,5,2503,2218,,,0.386,0.292,0.55,52.8,63.9,,8.4,0.514,17.6,,0.273,True
126,Kansas City,29,15,14,0.517,0.07,-3.45,9.0,7.0,9,5,5,8,2145,2043,,,0.385,0.422,0.537,47.1,56.6,,5.1,0.502,15.3,,0.266,False
127,Kansas State,28,14,14,0.5,8.7,4.84,6.0,10.0,12,4,2,9,1943,1835,,,0.37,0.231,0.52,52.6,60.3,,4.7,0.485,17.6,,0.252,False
