Team,Conf,record,AdjOE,oe Rank,AdjDE,de Rank,Barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,AdjTempo
Lafayette,Pat,19-13,103.88016427146232,152,110.881474811784,315,0.320805071350326,235,19,13,8,6,8-6,0.2995924345525128,0.2896546095973499,0.302295762137348,0.2995924345525128,0.2896546095973499,0.302295762137348,0.9245292929780724,0.9048457555812016,97.7059427915507,106.1978170026974,97.7059427915507,106.1978170026974,102.40159467235276,109.75100473150896,111.26489272157744,122.13889806643893,0.2549623330391798,1,0.0380410603526083,1029.0,1018.0,973.725,1.0567665408611262,1.045469716809161,0,0.5714285714285714,-9.730653151493357,204,76,66.58533462416415
Northern Illinois,MAC,10-20,98.165881434339,248,104.84972873839138,221,0.3191895651606646,236,10,20,6,10,6-10,0.4723178359234112,0.4895264065869715,0.4562342883900763,0.4723178359234112,0.4895264065869715,0.4562342883900763,0.8390293253468993,0.7771036871962432,101.22491677498594,102.70540742190263,101.22491677498594,102.70540742190263,99.3421726999604,106.5248293311048,100.7605541534961,106.47220808979849,0.3465868938353251,4,-0.0625531336119753,1120.0,1186.0,1125.5875,0.9950359256832544,1.053671971303875,0,0.375,-13.742504650421592,269,305,69.71216633009428
Illinois Chicago,Horz,7-22,97.1729881151507,261,103.89250689582002,198,0.3167093050942715,237,7,22,3,15,3-15,0.5788493027730258,0.5535274500508987,0.5864558227351552,0.5788493027730258,0.5535274500508987,0.5864558227351552,0.8027435606103844,0.797459336761659,104.66611056673038,101.16419534713916,104.66611056673038,101.16419534713916,93.69546891984577,102.3617834854578,113.46376871971196,126.52323949655856,0.222209253457383,3,-0.0389909280224526,1116.0,1293.0,1219.275,0.9152980254659532,1.0604662606877038,0,0.1666666666666666,-14.559395334457117,282,255,67.23127233869974
Arkansas Pine Bluff,SWAC,17-16,91.83439345574988,315,98.21779230405367,85,0.3158724802792771,238,17,16,13,4,13-4,0.4031450304836658,0.8337312294559965,0.1366359635893605,0.4031450304836658,0.8337312294559965,0.1366359635893605,0.7966469476181351,0.5068509727003243,98.37087628405696,102.98362608895734,98.37087628405696,102.98362608895734,89.88809246206563,98.7939738126576,99.4315731102038,100.90174573177994,0.4579020074116957,7,0.0293185596527629,1161.0,1028.0,1200.7,0.9669359540268176,0.8561672357791288,0,0.7647058823529411,-7.928104320039819,172,101,65.36038925807668
Santa Clara,WCC,8-21,97.07513474682987,265,103.91117458339052,200,0.3137622583732967,239,8,21,2,11,2-11,0.5439962213085124,0.5143548682642944,0.5847013006047974,0.5439962213085124,0.5143548682642944,0.5847013006047974,0.8249345601304754,0.8495331747379196,104.05664932303443,101.85514708160446,104.05664932303443,101.85514708160446,93.504882619557,101.74060156579075,111.8724125880647,117.18522585128775,0.3696863160811053,4,-0.051122028758433,795.0,915.0,858.1125,0.9264519512301708,1.066293755189442,0,0.1538461538461538,-14.36009699666988,278,286,66.08384841612151
Wyoming,MWC,8-21,97.53386072556609,258,104.42359865669944,210,0.3132551138030452,240,8,21,3,13,3-13,0.5835726412851545,0.4584656181208628,0.6934343786434066,0.5835726412851545,0.4584656181208628,0.6934343786434066,0.7724395805086045,0.8457586154054663,105.25678061778471,100.75965894851328,105.25678061778471,100.75965894851328,99.2647350547664,104.85310237236368,97.692450591668,103.58560979603136,0.3376906419058732,8,-0.0318404891543081,1030.0,1205.0,1093.7624999999998,0.9417035233883044,1.1017016948377734,0,0.1875,-12.77040028759635,251,242,70.0448933507326
Furman,SC,11-17,97.58865067436206,257,104.51738377929988,214,0.3124241609952462,241,11,17,7,11,7-11,0.4127174817569683,0.376941070854027,0.432864817017744,0.4127174817569683,0.376941070854027,0.432864817017744,0.8804057949651458,0.8490974973417913,100.47460358537371,104.29509922226082,100.47460358537371,104.29509922226082,96.16464636008762,101.05953141048488,78.86005349697575,89.2959376937229,0.193218114022255,1,-0.0395790798130739,1211.0,1227.0,1226.6375,0.9872517349257623,1.0002955233310575,0,0.3888888888888889,-12.525374185207005,248,257,67.30097658117992
UC Riverside,BW,10-17,97.89033875390254,251,104.85418864372376,222,0.3121015252683411,242,10,17,5,11,5-11,0.4461521030670277,0.4761593017625488,0.4255221539638568,0.4461521030670277,0.4761593017625488,0.4255221539638568,0.8614039142415303,0.8065345637838122,101.41377848328574,103.4403333743818,101.41377848328574,103.4403333743818,97.213899855724,105.60121183677384,98.23239428176711,101.25458089009324,0.4137530237986047,3,-0.028345335941608,981.0,1036.0,997.3499999999998,0.9836065573770494,1.0387526946407983,0,0.3125,-12.070903432812669,242,235,61.0587914076321
Towson,CAA,10-21,103.56361310848,158,110.93621125528348,318,0.3119867937815046,243,10,21,6,12,6-12,0.5083978793652737,0.456935698671546,0.5288648730487497,0.5083978793652737,0.456935698671546,0.5288648730487497,0.8406356719845494,0.8683943591317277,102.1217977136602,101.53641557575638,102.1217977136602,101.53641557575638,100.83621898776413,110.96953635591002,107.4241757529515,113.70091337859368,0.3423045742655301,4,-0.023058754353663,1186.0,1370.0,1211.6874999999998,0.978800226956208,1.130654562335586,0,0.3333333333333333,-14.514256384007762,281,226,67.41008479400307
Hawaii,WAC,9-20,100.67260032844536,201,107.8468936585212,270,0.3118150624869487,244,9,20,3,13,3-13,0.5303477253316499,0.4288193144327457,0.6128395591870095,0.5303477253316499,0.4288193144327457,0.6128395591870095,0.836972314120292,0.880322147588569,105.29609874024835,104.08793027719317,105.29609874024835,104.08793027719317,95.7746604589776,103.7145925330503,122.76081610572984,140.0479155641804,0.180186047303698,4,-0.0441178031373347,994.0,1154.0,1050.575,0.9461485377055422,1.0984460890464744,0,0.1875,-13.735243108031115,267,270,64.54432434813232
