Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Air Force,31,10,21,0.323,-2.99,2.37,0.0,16.0,7.0,10.0,1,9,1821,1936,,,0.42,0.393,0.547,48.0,61.9,,8.5,0.514,19.6,,0.283,False
2,Akron,36,23,13,0.639,3.37,-2.01,10.0,6.0,11.0,3.0,8,8,2403,2171,,,0.358,0.394,0.522,49.2,54.2,,6.7,0.483,17.5,,0.253,True
3,Alabama,32,18,14,0.563,5.49,3.99,7.0,9.0,13.0,5.0,2,7,2349,2254,,,0.372,0.25,0.522,51.6,42.2,,11.3,0.483,17.1,,0.262,False
4,Alabama A&M,27,8,19,0.296,-19.72,-11.63,6.0,12.0,6.0,7.0,2,11,1761,1954,,,0.407,0.29,0.471,46.0,49.0,,7.8,0.427,19.3,,0.271,False
5,Alabama State,32,22,10,0.688,-6.13,-11.2,16.0,2.0,10.0,1.0,8,7,2202,2025,,,0.35,0.314,0.539,50.3,54.5,,11.4,0.517,17.5,,0.222,True
6,Albany (NY),31,15,16,0.484,-6.63,-4.11,6.0,10.0,10.0,4.0,5,12,1984,2038,,,0.344,0.258,0.498,56.3,51.3,,6.3,0.455,19.2,,0.248,False
7,Alcorn State,31,6,25,0.194,-25.55,-10.26,4.0,14.0,5.0,7.0,1,15,2156,2588,,,0.373,0.3,0.482,42.9,41.6,,4.1,0.44,16.9,,0.255,False
8,American,32,24,8,0.75,-0.05,-5.49,13.0,1.0,13.0,1.0,11,6,2065,1891,,,0.318,0.381,0.556,51.9,56.1,,7.3,0.537,18.5,,0.206,True
9,Appalachian State,31,13,18,0.419,-8.44,-5.44,9.0,11.0,7.0,7.0,5,9,2356,2381,,,0.415,0.363,0.557,55.3,50.9,,8.5,0.52,20.4,,0.294,False
10,Arizona,35,21,14,0.6,11.88,8.8,9.0,9.0,14.0,3.0,2,9,2529,2421,,,0.375,0.29,0.567,51.7,55.7,,8.7,0.53,16.5,,0.276,True
11,Arizona State,35,25,10,0.714,16.7,7.82,11.0,7.0,12.0,3.0,6,4,2428,2117,,,0.387,0.453,0.597,51.0,65.9,,6.3,0.564,16.5,,0.285,True
12,Arkansas,30,14,16,0.467,3.79,3.89,2.0,14.0,12.0,6.0,1,9,2238,2213,,,0.373,0.334,0.522,51.1,48.9,,7.6,0.493,16.4,,0.243,False
13,Arkansas State,30,13,17,0.433,-5.42,-4.31,5.0,13.0,9.0,5.0,4,12,1996,1948,,,0.339,0.262,0.51,51.7,55.0,,9.2,0.477,17.3,,0.231,False
14,Arkansas-Pine Bluff,31,13,18,0.419,-15.45,-7.48,11.0,7.0,6.0,3.0,6,14,1943,2190,,,0.367,0.244,0.468,50.7,47.8,,7.1,0.436,22.6,,0.227,False
15,Army,30,11,19,0.367,-10.11,-7.59,6.0,8.0,7.0,7.0,4,12,1741,1823,,,0.292,0.279,0.499,45.6,61.5,,8.4,0.467,20.8,,0.202,False
16,Auburn,36,24,12,0.667,9.93,3.56,10.0,6.0,18.0,4.0,5,5,2620,2354,,,0.379,0.393,0.525,49.9,54.6,,10.2,0.504,15.8,,0.23,False
17,Austin Peay,33,19,14,0.576,-4.2,-3.69,13.0,5.0,9.0,5.0,9,7,2485,2449,,,0.379,0.328,0.561,49.6,54.9,,8.6,0.531,16.8,,0.261,False
18,Ball State,31,14,17,0.452,-5.5,-3.02,7.0,9.0,10.0,6.0,3,10,1795,1852,,,0.384,0.251,0.483,50.6,51.5,,5.6,0.454,17.9,,0.235,False
19,Baylor,39,24,15,0.615,12.54,7.93,5.0,11.0,14.0,5.0,4,7,2965,2732,,,0.382,0.4,0.573,49.8,47.3,,9.8,0.54,16.2,,0.272,False
20,Belmont,33,20,13,0.606,0.39,-1.37,14.0,6.0,12.0,3.0,8,9,2528,2334,,,0.339,0.484,0.555,49.6,63.2,,6.8,0.529,17.4,,0.232,False
21,Bethune-Cookman,33,17,16,0.515,-12.41,-9.76,9.0,7.0,8.0,4.0,7,10,1926,1941,,,0.386,0.283,0.472,52.6,44.8,,9.2,0.437,18.8,,0.243,False
22,Binghamton,32,23,9,0.719,-3.27,-5.62,13.0,3.0,12.0,2.0,9,6,2239,2156,,,0.416,0.326,0.53,48.5,49.2,,11.2,0.495,16.9,,0.278,True
23,Boise State,32,19,13,0.594,-0.95,0.54,9.0,7.0,13.0,3.0,6,9,2329,2315,,,0.294,0.316,0.553,49.5,58.3,,8.6,0.527,18.4,,0.205,False
24,Boston College,34,22,12,0.647,10.36,7.23,9.0,7.0,15.0,4.0,5,5,2528,2397,,,0.367,0.325,0.538,51.9,56.8,,10.4,0.497,16.3,,0.271,True
25,Boston University,30,17,13,0.567,-2.61,-4.91,11.0,5.0,9.0,6.0,8,6,2058,1989,,,0.351,0.45,0.536,49.1,54.4,,8.8,0.505,17.5,,0.24,False
26,Bowling Green,33,19,14,0.576,0.09,-1.75,11.0,5.0,10.0,4.0,6,9,2126,2020,,,0.305,0.325,0.517,51.2,53.5,,10.1,0.489,17.2,,0.206,False
27,Bradley,36,21,15,0.583,2.48,1.95,10.0,8.0,14.0,4.0,5,9,2415,2387,,,0.445,0.359,0.544,49.5,56.2,,10.3,0.499,19.0,,0.32,False
28,Brigham Young,33,25,8,0.758,15.12,4.15,12.0,4.0,14.0,2.0,9,3,2544,2150,,,0.356,0.332,0.579,52.7,59.1,,9.9,0.547,14.6,,0.26,True
29,Brown,28,9,19,0.321,-12.39,-5.02,3.0,11.0,8.0,5.0,1,14,1712,1898,,,0.379,0.366,0.516,49.6,62.3,,7.9,0.484,19.5,,0.25,False
30,Bryant,29,8,21,0.276,,,,,4.0,7.0,3,14,1670,1969,62.5,92.1,0.308,0.425,0.493,44.7,60.4,9.5,7.7,0.463,18.7,27.1,0.204,False
31,Bucknell,30,7,23,0.233,-11.59,-4.12,4.0,10.0,6.0,8.0,1,15,1928,2152,,,0.299,0.35,0.478,48.6,49.8,,6.2,0.444,17.4,,0.203,False
32,Buffalo,33,21,12,0.636,1.44,-0.9,11.0,5.0,9.0,4.0,7,7,2155,2078,,,0.354,0.271,0.495,53.9,52.2,,7.7,0.464,17.6,,0.228,False
33,Butler,32,26,6,0.813,10.07,2.07,15.0,3.0,15.0,2.0,11,3,2168,1854,,,0.43,0.454,0.559,52.5,59.1,,9.4,0.518,17.1,,0.311,True
34,Cal Poly,28,7,21,0.25,-8.32,-1.32,3.0,13.0,3.0,12.0,3,8,1822,1964,,,0.306,0.352,0.5,46.7,46.5,,7.6,0.465,15.2,,0.216,False
35,Cal State Bakersfield,29,8,21,0.276,,,,,5.0,6.0,3,14,1875,2094,65.6,97.3,0.357,0.354,0.488,47.1,47.5,8.2,6.0,0.449,16.6,34.2,0.242,False
36,Cal State Fullerton,32,15,17,0.469,-4.2,-1.26,7.0,9.0,7.0,6.0,7,7,2345,2356,,,0.325,0.398,0.537,47.0,51.1,,9.0,0.504,16.2,,0.232,False
37,Cal State Northridge,31,17,14,0.548,2.65,-0.14,11.0,5.0,10.0,2.0,5,11,2282,2178,,,0.338,0.337,0.544,52.4,52.4,,7.9,0.514,20.7,,0.235,True
