Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,in_tourney
1,Air Force,31,10,21,0.323,-2.99,2.37,0.0,16.0,7.0,10.0,1,9,1821,1936,1240.0,611,1389,0.44,206,546,0.377,393,583,0.674,229.0,879,378,155,70,407,542,False
2,Akron,36,23,13,0.639,3.37,-2.01,10.0,6.0,11.0,3.0,8,8,2403,2171,1455.0,823,1969,0.418,258,776,0.332,499,705,0.708,424.0,1199,446,270,80,490,745,True
3,Alabama,32,18,14,0.563,5.49,3.99,7.0,9.0,13.0,5.0,2,7,2349,2254,1295.0,845,1913,0.442,157,479,0.328,502,711,0.706,441.0,1264,357,235,144,464,546,False
4,Alabama A&M,27,8,19,0.296,-19.72,-11.63,6.0,12.0,6.0,7.0,2,11,1761,1954,1085.0,608,1566,0.388,121,454,0.267,424,638,0.665,340.0,948,298,224,90,448,549,False
5,Alabama State,32,22,10,0.688,-6.13,-11.2,16.0,2.0,10.0,1.0,8,7,2202,2025,1280.0,816,1752,0.466,181,550,0.329,389,614,0.634,358.0,1130,445,182,153,435,558,True
6,Albany (NY),31,15,16,0.484,-6.63,-4.11,6.0,10.0,10.0,4.0,5,12,1984,2038,1245.0,715,1713,0.417,130,442,0.294,424,590,0.719,425.0,1206,367,160,63,474,626,False
7,Alcorn State,31,6,25,0.194,-25.55,-10.26,4.0,14.0,5.0,7.0,1,15,2156,2588,1261.0,742,1901,0.39,187,571,0.327,485,709,0.684,318.0,992,309,257,55,455,609,False
8,American,32,24,8,0.75,-0.05,-5.49,13.0,1.0,13.0,1.0,11,6,2065,1891,1290.0,751,1614,0.465,230,615,0.374,333,514,0.648,302.0,1046,421,176,79,422,581,True
9,Appalachian State,31,13,18,0.419,-8.44,-5.44,9.0,11.0,7.0,7.0,5,9,2356,2381,1270.0,799,1768,0.452,239,642,0.372,519,733,0.708,404.0,1220,407,187,106,542,626,False
10,Arizona,35,21,14,0.6,11.88,8.8,9.0,9.0,14.0,3.0,2,9,2529,2421,1405.0,897,1892,0.474,212,548,0.387,523,709,0.738,387.0,1183,500,217,104,442,548,True
11,Arizona State,35,25,10,0.714,16.7,7.82,11.0,7.0,12.0,3.0,6,4,2428,2117,1420.0,825,1718,0.48,288,778,0.37,490,665,0.737,288.0,1085,544,201,72,401,557,True
12,Arkansas,30,14,16,0.467,3.79,3.89,2.0,14.0,12.0,6.0,1,9,2238,2213,1215.0,797,1821,0.438,202,608,0.332,442,679,0.651,381.0,1129,390,227,86,419,521,False
13,Arkansas State,30,13,17,0.433,-5.42,-4.31,5.0,13.0,9.0,5.0,4,12,1996,1948,1225.0,731,1685,0.434,144,442,0.326,390,571,0.683,347.0,1094,402,201,109,408,501,False
14,Arkansas-Pine Bluff,31,13,18,0.419,-15.45,-7.48,11.0,7.0,6.0,3.0,6,14,1943,2190,1250.0,709,1768,0.401,124,431,0.288,401,649,0.618,446.0,1179,339,271,84,605,705,False
15,Army,30,11,19,0.367,-10.11,-7.59,6.0,8.0,7.0,7.0,4,12,1741,1823,1220.0,644,1533,0.42,144,427,0.337,309,448,0.69,237.0,876,396,224,75,459,579,False
