Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Abilene Christian,32,16,16,0.5,-5.84,-2.39,8,8,10,5,5,10,2260,2250,71.1,98.6,0.361,0.262,0.523,50.1,51.4,14.4,8.5,0.483,18.0,31.8,0.258,False
2,Air Force,32,4,28,0.125,-8.07,3.65,1,19,3,13,0,14,1982,2357,64.7,95.0,0.354,0.485,0.525,46.6,62.9,8.7,8.1,0.501,18.7,22.7,0.225,False
3,Akron,35,28,7,0.8,3.22,-3.75,17,1,16,0,8,4,2941,2627,72.5,115.4,0.261,0.459,0.579,52.3,58.6,10.5,9.8,0.552,14.0,32.7,0.197,True
4,Alabama,37,28,9,0.757,25.54,16.14,13,5,12,3,9,3,3355,3007,76.0,118.5,0.393,0.466,0.596,53.5,55.4,8.1,10.1,0.566,14.3,33.7,0.283,True
5,Alabama A&M,32,10,22,0.313,-20.52,-9.93,6,12,8,9,2,12,2337,2521,73.0,98.4,0.375,0.41,0.504,49.5,54.3,11.2,11.5,0.47,18.1,35.1,0.249,False
6,Alabama State,36,20,16,0.556,-8.99,-8.19,12,6,8,3,6,10,2630,2607,69.5,104.7,0.29,0.427,0.505,47.7,45.1,11.4,8.2,0.475,11.1,28.7,0.199,True
7,Albany (NY),33,17,16,0.515,-9.75,-8.55,8,8,7,7,8,8,2463,2437,68.7,107.5,0.289,0.36,0.53,50.8,45.9,11.9,6.5,0.499,13.3,32.9,0.207,False
8,Alcorn State,32,11,21,0.344,-14.06,-6.96,11,7,6,3,5,17,2081,2307,66.3,97.7,0.306,0.294,0.496,49.9,43.6,9.9,8.7,0.458,16.6,33.5,0.219,False
9,American,35,22,13,0.629,-7.64,-6.85,13,5,14,2,5,10,2406,2370,64.4,105.2,0.299,0.454,0.556,48.4,52.5,10.0,5.5,0.523,15.2,24.5,0.226,True
10,Appalachian State,31,17,14,0.548,-2.59,-3.83,10,8,10,4,5,8,2102,1970,64.5,104.7,0.35,0.412,0.533,50.7,52.7,8.5,10.1,0.507,14.5,28.2,0.228,False
11,Arizona,37,24,13,0.649,22.94,13.72,14,6,13,3,6,5,3052,2711,70.4,116.3,0.358,0.347,0.575,55.0,55.6,10.6,12.1,0.533,13.7,36.0,0.28,True
12,Arizona State,33,13,20,0.394,10.62,13.32,4,16,5,9,3,8,2444,2533,70.1,104.4,0.362,0.426,0.551,47.8,51.1,7.4,12.1,0.515,15.6,25.1,0.263,False
13,Arkansas,36,22,14,0.611,17.09,11.7,8,10,14,4,4,6,2765,2571,70.3,108.5,0.356,0.366,0.559,50.1,52.1,10.6,15.0,0.522,14.3,28.1,0.263,True
14,Arkansas State,36,25,11,0.694,5.81,-2.4,13,5,14,2,8,6,2858,2528,70.4,111.9,0.325,0.451,0.535,51.9,52.0,10.3,11.3,0.5,12.3,34.0,0.236,False
15,Arkansas-Pine Bluff,31,6,25,0.194,-24.34,-8.44,3,15,4,8,2,17,2242,2602,73.1,99.0,0.32,0.379,0.529,46.8,54.2,9.7,6.3,0.515,17.5,26.9,0.19,False
16,Army,33,17,16,0.515,-12.11,-7.3,10,8,12,4,4,11,2416,2473,67.7,105.7,0.256,0.426,0.527,48.5,52.2,9.7,6.2,0.504,12.6,27.3,0.174,False
17,Auburn,38,32,6,0.842,28.68,15.13,15,3,13,2,8,2,3153,2638,69.2,119.6,0.339,0.408,0.579,52.7,54.9,9.9,15.8,0.549,11.7,34.2,0.247,True
18,Austin Peay,33,14,19,0.424,-9.57,-3.86,8,10,8,5,4,13,2362,2472,67.2,105.3,0.288,0.409,0.525,46.8,49.8,10.2,7.3,0.493,12.7,26.7,0.207,False
19,Ball State,31,14,17,0.452,-7.95,-6.49,7,11,8,7,4,9,2336,2300,69.0,108.4,0.457,0.373,0.559,50.9,52.1,7.1,6.0,0.519,14.8,27.7,0.322,False
20,Baylor,35,20,15,0.571,18.77,13.86,10,10,13,3,3,9,2664,2443,65.8,113.6,0.301,0.398,0.548,52.5,53.3,11.3,8.6,0.514,13.5,36.6,0.225,True
21,Bellarmine,31,5,26,0.161,-15.26,-4.88,2,16,5,10,0,16,2252,2484,67.6,106.6,0.255,0.445,0.576,46.5,53.9,9.3,5.5,0.548,16.0,21.2,0.197,False
22,Belmont,33,22,11,0.667,1.94,-0.12,13,7,11,5,9,4,2618,2529,70.4,112.2,0.261,0.445,0.573,49.1,60.1,9.8,9.2,0.55,14.0,27.2,0.187,False
23,Bethune-Cookman,33,17,16,0.515,-10.22,-6.7,13,5,8,2,7,12,2265,2381,69.6,98.6,0.359,0.339,0.517,49.8,52.9,9.6,9.7,0.482,17.0,28.8,0.248,False
24,Binghamton,32,15,17,0.469,-13.5,-9.12,7,9,9,4,5,12,2233,2287,66.8,103.2,0.336,0.365,0.555,52.2,51.9,7.1,8.4,0.527,17.6,27.6,0.233,False
25,Boise State,37,26,11,0.703,13.86,5.75,14,6,13,2,6,5,2804,2477,66.3,113.9,0.377,0.423,0.574,55.6,56.1,8.5,7.6,0.529,14.2,33.0,0.294,False
26,Boston College,31,12,19,0.387,-0.25,5.14,4,16,9,8,0,10,2182,2349,66.8,102.4,0.315,0.33,0.524,49.1,45.3,7.6,10.5,0.489,15.0,28.8,0.226,False
27,Boston University,32,16,16,0.5,-11.0,-8.39,10,8,12,4,3,12,2148,2191,64.1,103.1,0.312,0.422,0.534,54.2,49.6,9.3,8.2,0.51,17.4,32.8,0.207,False
28,Bowling Green,32,14,18,0.438,-9.53,-6.1,8,10,8,8,5,8,2352,2366,70.1,104.8,0.337,0.401,0.546,49.5,44.0,10.3,9.6,0.508,15.4,26.5,0.251,False
29,Bradley,37,28,9,0.757,6.4,0.24,15,5,14,4,9,3,2823,2535,66.4,113.3,0.315,0.431,0.597,51.0,53.8,9.7,11.8,0.569,15.3,26.5,0.235,False
30,Brigham Young,36,26,10,0.722,19.07,10.21,14,6,15,2,6,5,2931,2612,68.1,117.6,0.304,0.476,0.592,54.3,59.6,10.3,10.0,0.57,14.9,33.7,0.217,True
31,Brown,27,14,13,0.519,-5.21,-4.28,6,8,8,6,6,7,1950,1933,67.4,105.7,0.278,0.409,0.534,50.4,55.0,8.7,14.0,0.517,14.7,30.8,0.175,False
32,Bryant,35,23,12,0.657,-1.99,-6.93,14,2,12,3,10,7,2862,2598,73.4,111.0,0.293,0.353,0.545,52.9,49.5,9.0,14.4,0.516,13.7,34.5,0.21,True
33,Bucknell,33,18,15,0.545,-5.35,-6.23,13,5,12,4,6,10,2443,2414,67.4,105.0,0.367,0.41,0.562,49.8,52.0,9.4,9.2,0.538,16.6,26.0,0.244,False
