Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Air Force,30,18,12,0.6,8.61,2.61,9.0,5.0,12,1,4,10,1835,1629,,,0.278,0.511,0.568,44.3,63.1,,4.3,0.543,15.5,,0.2,False
2,Akron,29,19,10,0.655,7.03,1.68,11.0,7.0,14,1,5,8,2082,1902,,,0.361,0.377,0.544,48.3,64.5,,6.8,0.516,16.9,,0.244,False
3,Alabama,32,24,8,0.75,16.75,6.81,12.0,4.0,14,1,8,4,2426,2083,,,0.432,0.373,0.594,53.9,55.3,,7.5,0.557,16.7,,0.318,True
4,Alabama A&M,32,18,14,0.563,-11.96,-12.86,12.0,6.0,9,3,6,8,2229,2169,,,0.435,0.345,0.486,47.0,55.9,,6.5,0.453,17.6,,0.267,True
5,Alabama State,30,15,15,0.5,-15.0,-11.66,11.0,7.0,9,4,4,8,1739,1839,,,0.44,0.296,0.47,51.2,53.3,,3.9,0.425,20.4,,0.286,False
6,Albany (NY),28,13,15,0.464,-2.63,-5.31,9.0,9.0,7,4,6,10,1886,1811,,,0.399,0.312,0.539,50.6,56.8,,4.5,0.497,19.1,,0.288,False
7,Alcorn State,29,7,22,0.241,-23.6,-11.31,6.0,12.0,5,7,2,13,1677,2016,,,0.402,0.32,0.458,47.3,56.1,,6.5,0.425,23.8,,0.241,False
8,American,28,16,12,0.571,-3.19,-4.3,8.0,6.0,9,3,6,9,1881,1850,,,0.32,0.323,0.543,51.7,53.1,,5.0,0.511,19.5,,0.228,False
9,Appalachian State,30,18,12,0.6,-3.76,-4.04,9.0,7.0,13,1,3,11,2192,2070,,,0.289,0.402,0.535,48.5,60.9,,8.1,0.514,17.9,,0.189,False
10,Arizona,37,30,7,0.811,18.0,8.02,15.0,3.0,15,1,8,3,2948,2579,,,0.309,0.279,0.57,52.9,56.6,,6.6,0.534,17.5,,0.24,True
11,Arizona State,32,18,14,0.563,9.2,5.36,7.0,11.0,13,5,4,7,2433,2310,,,0.418,0.341,0.551,52.1,63.7,,6.2,0.511,17.5,,0.299,False
12,Arkansas,30,18,12,0.6,12.34,3.6,6.0,10.0,13,3,2,7,2147,1885,,,0.374,0.289,0.539,50.7,56.3,,9.8,0.511,17.7,,0.248,False
13,Arkansas State,29,16,13,0.552,-1.18,-1.87,7.0,7.0,12,2,3,9,2207,2097,,,0.369,0.275,0.537,51.5,53.5,,5.0,0.507,17.2,,0.247,False
14,Arkansas-Pine Bluff,28,7,21,0.25,-20.72,-10.3,5.0,13.0,3,7,4,13,1654,1898,,,0.28,0.28,0.456,47.9,53.1,,8.7,0.425,20.1,,0.182,False
15,Army,27,3,24,0.111,-20.27,-5.39,1.0,13.0,3,11,0,13,1510,1832,,,0.297,0.377,0.51,43.9,59.2,,3.0,0.468,21.9,,0.228,False
16,Auburn,31,14,17,0.452,2.06,6.61,4.0,12.0,8,7,3,7,2191,2332,,,0.321,0.421,0.53,46.8,53.1,,3.4,0.494,17.8,,0.233,False
17,Austin Peay,32,13,19,0.406,-3.75,-1.97,9.0,7.0,7,5,3,11,2090,2147,,,0.358,0.322,0.523,48.6,55.7,,4.8,0.49,18.6,,0.244,False
18,Ball State,28,15,13,0.536,4.27,3.31,10.0,8.0,11,3,4,8,1990,1911,,,0.37,0.341,0.533,51.2,48.3,,4.7,0.499,15.4,,0.254,False
19,Baylor,28,9,19,0.321,-2.79,4.1,1.0,15.0,8,9,1,9,1863,2008,,,0.363,0.411,0.551,45.6,58.3,,3.6,0.519,20.8,,0.254,False
20,Belmont,30,14,16,0.467,-7.08,-7.32,12.0,8.0,9,5,5,9,2108,2101,,,0.337,0.484,0.541,45.1,57.7,,5.8,0.514,18.2,,0.228,False
21,Bethune-Cookman,30,13,17,0.433,-15.87,-11.67,8.0,10.0,6,5,5,10,1931,2057,,,0.321,0.343,0.511,46.1,57.2,,4.5,0.493,20.6,,0.193,False
22,Binghamton,29,12,17,0.414,-4.46,-2.56,8.0,10.0,7,5,2,10,1784,1839,,,0.328,0.375,0.486,50.6,48.4,,6.0,0.454,17.7,,0.215,False
23,Birmingham-Southern,30,16,14,0.533,-7.24,-8.24,7.0,9.0,7,4,6,9,1974,1893,62.2,105.9,0.459,0.401,0.56,52.3,52.0,8.4,7.2,0.517,18.5,33.4,0.331,False
24,Boise State,34,16,18,0.471,-2.96,0.6,6.0,12.0,11,7,3,10,2393,2524,,,0.307,0.37,0.526,49.7,53.3,,4.1,0.497,18.2,,0.21,False
25,Boston College,30,25,5,0.833,14.38,6.42,13.0,3.0,16,1,7,2,2174,1935,,,0.428,0.293,0.536,53.4,68.6,,7.1,0.493,16.6,,0.305,True
26,Boston University,29,20,9,0.69,3.25,-3.86,14.0,4.0,10,2,10,6,1822,1616,,,0.363,0.27,0.507,50.5,54.0,,9.0,0.473,16.3,,0.244,False
27,Bowling Green,29,18,11,0.621,2.01,1.8,10.0,8.0,12,3,6,7,2023,1990,,,0.364,0.335,0.586,50.3,68.0,,7.3,0.552,20.1,,0.272,False
28,Bradley,28,13,15,0.464,3.24,4.56,6.0,12.0,12,3,1,11,1959,1996,,,0.358,0.291,0.519,51.7,54.2,,8.8,0.48,19.1,,0.254,False
29,Brigham Young,30,9,21,0.3,1.01,6.69,3.0,11.0,6,8,2,9,1972,2070,,,0.322,0.354,0.519,49.4,53.6,,6.3,0.483,18.8,,0.231,False
30,Brown,28,12,16,0.429,-7.29,-5.54,5.0,9.0,5,6,6,9,1849,1898,,,0.396,0.381,0.525,46.8,60.3,,4.3,0.486,18.6,,0.275,False
31,Bucknell,33,23,10,0.697,2.12,-2.19,10.0,4.0,12,1,8,7,2097,1946,,,0.424,0.373,0.551,50.3,59.1,,5.8,0.513,21.1,,0.297,True
32,Buffalo,33,23,10,0.697,5.93,2.36,11.0,7.0,13,2,8,7,2462,2344,,,0.368,0.318,0.538,51.4,52.5,,4.6,0.507,18.2,,0.252,False
33,Butler,28,13,15,0.464,0.63,-0.83,7.0,9.0,10,4,3,9,1811,1709,,,0.32,0.462,0.572,45.5,53.1,,4.2,0.541,15.1,,0.237,False
34,Cal Poly,27,5,22,0.185,-12.77,-0.56,3.0,15.0,4,10,1,12,1834,2147,,,0.341,0.359,0.528,47.8,44.7,,5.0,0.487,20.5,,0.253,False
35,Cal State Fullerton,32,21,11,0.656,0.3,-0.84,12.0,6.0,10,2,9,7,2408,2289,,,0.222,0.348,0.53,52.9,51.3,,3.0,0.509,15.7,,0.153,False
36,Cal State Northridge,31,18,13,0.581,1.73,-0.98,12.0,6.0,9,2,7,9,2229,2085,,,0.405,0.293,0.543,49.4,55.8,,4.8,0.504,19.6,,0.287,False
37,California,29,13,16,0.448,2.58,5.96,6.0,12.0,8,9,4,6,1956,2054,,,0.359,0.209,0.508,50.0,57.2,,5.7,0.482,18.3,,0.225,False
38,Campbell,27,2,25,0.074,-20.8,-6.58,0.0,20.0,1,10,1,15,1681,2065,,,0.331,0.269,0.478,51.4,47.2,,2.6,0.45,22.4,,0.206,False
39,Canisius,29,11,18,0.379,-8.79,-4.52,8.0,10.0,8,7,3,11,2089,2213,,,0.309,0.311,0.522,47.5,49.8,,6.7,0.492,16.4,,0.213,False
40,Centenary (LA),27,3,24,0.111,-16.77,-1.84,1.0,15.0,2,9,1,14,1734,2103,,,0.365,0.345,0.521,44.9,51.2,,3.2,0.482,21.4,,0.26,False
41,Central Connecticut State,28,12,16,0.429,-8.26,-7.23,8.0,10.0,7,6,5,9,1919,1948,,,0.345,0.331,0.543,51.7,56.7,,3.4,0.506,18.7,,0.252,False
42,Central Michigan,28,10,18,0.357,-6.13,2.75,4.0,14.0,8,7,2,11,1855,2102,,,0.375,0.344,0.517,48.0,53.2,,4.6,0.479,21.5,,0.261,False
43,Charleston Southern,30,13,17,0.433,-12.5,-6.53,7.0,9.0,7,6,5,9,1762,1913,,,0.314,0.289,0.505,49.6,55.8,,6.4,0.48,21.4,,0.201,False
44,Charlotte,29,21,8,0.724,9.62,3.97,12.0,4.0,12,2,7,5,2257,2093,,,0.413,0.357,0.534,51.0,53.6,,8.2,0.497,15.5,,0.282,True
45,Chattanooga,31,20,11,0.645,-1.37,-3.58,10.0,6.0,13,3,7,7,2253,2034,,,0.418,0.317,0.538,57.5,56.6,,3.4,0.503,20.4,,0.284,True
46,Chicago State,28,9,19,0.321,-7.43,-1.29,7.0,9.0,6,4,2,14,1808,1980,,,0.373,0.305,0.506,46.4,50.6,,6.6,0.479,17.6,,0.232,False
47,Cincinnati,33,25,8,0.758,17.64,6.74,12.0,4.0,15,2,7,3,2505,2130,,,0.457,0.33,0.535,52.9,58.8,,11.2,0.494,15.7,,0.315,True
48,Clemson,32,16,16,0.5,11.23,8.85,5.0,11.0,10,5,4,8,2294,2218,,,0.383,0.317,0.517,51.4,55.6,,9.4,0.496,20.3,,0.23,False
49,Cleveland State,26,9,17,0.346,-4.64,0.58,6.0,10.0,7,5,2,12,1772,1872,,,0.376,0.384,0.523,49.7,61.6,,3.5,0.486,20.2,,0.261,False
50,Coastal Carolina,29,10,19,0.345,-11.9,-6.63,7.0,9.0,8,5,2,13,1976,2068,,,0.303,0.336,0.512,49.2,57.3,,3.4,0.489,17.4,,0.195,False
51,Colgate,28,12,16,0.429,-8.63,-4.97,7.0,7.0,8,4,4,9,1848,1904,,,0.285,0.328,0.526,47.9,52.7,,5.1,0.496,19.0,,0.202,False
52,College of Charleston,28,18,10,0.643,-0.69,-5.01,10.0,6.0,13,3,4,6,2018,1897,,,0.326,0.322,0.511,49.4,57.6,,5.7,0.473,16.1,,0.233,False
53,Colorado,30,14,16,0.467,4.91,8.49,4.0,12.0,9,6,4,9,2147,2218,,,0.342,0.356,0.521,48.8,54.3,,8.9,0.497,16.9,,0.215,False
54,Colorado State,28,11,17,0.393,2.36,3.88,3.0,11.0,11,4,0,12,1966,1943,,,0.464,0.285,0.563,51.3,63.0,,9.4,0.517,20.3,,0.339,False
55,Columbia,27,12,15,0.444,-8.56,-6.56,3.0,11.0,8,5,4,9,1734,1773,,,0.363,0.393,0.528,51.8,62.4,,6.7,0.492,22.4,,0.253,False
56,Connecticut,31,23,8,0.742,18.81,7.62,13.0,3.0,14,3,7,3,2419,2072,,,0.413,0.26,0.54,57.1,61.6,,13.7,0.502,17.3,,0.289,True
57,Coppin State,29,14,15,0.483,-8.51,-6.16,13.0,5.0,6,3,7,11,1765,1833,,,0.434,0.236,0.479,48.3,46.2,,6.3,0.428,18.9,,0.3,False
58,Cornell,27,13,14,0.481,-7.65,-5.46,8.0,6.0,7,4,6,9,1733,1788,,,0.312,0.355,0.551,48.7,57.7,,5.9,0.515,19.8,,0.234,False
59,Creighton,34,23,11,0.676,10.14,3.85,11.0,7.0,11,5,7,5,2421,2207,,,0.363,0.388,0.567,47.8,58.7,,6.1,0.533,16.2,,0.265,True
60,Dartmouth,27,10,17,0.37,-11.2,-4.12,7.0,7.0,9,4,1,13,1568,1740,,,0.303,0.318,0.499,46.2,60.7,,6.9,0.473,19.5,,0.196,False
61,Davidson,32,23,9,0.719,1.65,-1.08,16.0,0.0,11,3,11,4,2316,2102,,,0.352,0.434,0.551,53.8,60.2,,2.5,0.513,18.3,,0.26,False
62,Dayton,29,18,11,0.621,3.52,0.38,10.0,6.0,12,4,5,6,1877,1786,,,0.334,0.381,0.521,51.2,60.6,,4.0,0.483,17.4,,0.241,False
63,Delaware,31,11,20,0.355,-5.66,-2.47,7.0,11.0,7,6,3,11,2017,2116,,,0.353,0.34,0.513,50.0,55.3,,5.1,0.483,20.9,,0.231,False
64,Delaware State,33,19,14,0.576,-6.68,-6.89,14.0,4.0,9,1,6,11,2043,2036,,,0.421,0.392,0.537,47.0,52.6,,5.8,0.488,19.5,,0.313,True
