Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,in_tourney
20,Baylor,32,16,16,0.5,15.33,11.78,6,12,11,6,3,7,2642,2469,1280,938,1958,0.479,263,762,0.345,501,684,0.732,408,1177,506,210,128,369,518,False
21,Bellarmine,32,13,19,0.406,-9.0,-4.64,7,11,9,5,2,13,2561,2614,1290,907,1741,0.521,270,706,0.382,477,602,0.792,206,892,484,195,55,328,532,False
22,Belmont,32,26,6,0.813,8.95,-0.41,16,4,13,2,11,3,2684,2347,1290,963,1874,0.514,349,864,0.404,409,597,0.685,292,1151,595,196,110,402,564,False
23,Bethune-Cookman,32,17,15,0.531,-9.38,-6.45,14,4,10,1,7,11,2412,2462,1295,855,1834,0.466,182,546,0.333,520,754,0.69,333,1145,437,225,147,442,580,False
24,Binghamton,31,8,23,0.258,-20.67,-10.78,4,12,7,8,1,14,2105,2321,1265,725,1580,0.459,164,502,0.327,491,659,0.745,207,969,361,160,92,382,519,False
25,Boise State,32,20,12,0.625,12.04,7.84,12,8,12,4,6,5,2502,2351,1310,821,1814,0.453,266,777,0.342,594,756,0.786,344,1154,415,147,69,373,544,False
26,Boston College,31,11,20,0.355,3.39,6.65,4,14,10,7,1,10,2090,2191,1260,740,1815,0.408,226,769,0.294,384,588,0.653,332,1135,351,150,128,322,520,False
27,Boston University,34,17,17,0.5,-8.08,-8.23,10,8,10,5,6,12,2566,2514,1395,911,1842,0.495,319,811,0.393,423,580,0.729,282,1097,486,163,111,393,552,False
28,Bowling Green,32,18,14,0.563,0.47,-3.57,9,9,10,7,6,6,2602,2290,1285,921,1935,0.476,227,658,0.345,533,730,0.73,326,1153,454,312,114,368,568,False
29,Bradley,33,21,12,0.636,3.83,0.54,13,7,14,2,4,7,2560,2422,1365,869,1982,0.438,286,805,0.355,536,731,0.733,335,1132,441,265,103,320,615,False
30,Brigham Young,34,23,11,0.676,21.04,12.45,9,9,12,3,3,6,2853,2561,1365,1010,2117,0.477,294,842,0.349,539,723,0.746,421,1302,459,245,151,369,536,True
31,Brown,27,9,18,0.333,-9.9,-4.66,3,11,6,8,3,10,1900,1892,1100,706,1591,0.444,187,589,0.317,301,441,0.683,291,946,420,216,103,347,483,False
32,Bryant,31,9,22,0.29,-18.19,-7.92,5,11,8,5,1,17,2010,2246,1255,690,1700,0.406,247,812,0.304,383,513,0.747,305,1032,376,183,130,407,507,False
33,Bucknell,33,10,23,0.303,-14.38,-5.44,6,12,6,8,4,12,2223,2518,1336,778,1855,0.419,243,793,0.306,424,552,0.768,303,1037,420,238,59,424,586,False
34,Buffalo,32,17,15,0.531,-3.52,-3.99,7,11,7,8,8,6,2497,2438,1290,838,1773,0.473,308,805,0.383,513,699,0.734,289,1013,465,242,87,348,516,False
35,Butler,32,16,16,0.5,10.47,8.63,7,13,10,7,3,8,2540,2481,1300,869,1923,0.452,220,672,0.327,582,809,0.719,396,1209,497,208,102,362,490,False
36,Cal Poly,33,14,19,0.424,-4.17,-0.2,10,10,8,6,6,11,2710,2805,1325,892,2062,0.433,358,1080,0.331,568,722,0.787,373,1261,451,217,73,501,638,False
37,Cal State Bakersfield,32,8,24,0.25,-12.69,-1.26,2,18,6,11,2,13,2339,2629,1280,795,1891,0.42,158,545,0.29,591,804,0.735,366,1114,355,244,157,434,642,False
38,Cal State Fullerton,34,18,16,0.529,-1.75,0.12,12,8,10,4,6,10,2822,2778,1360,962,2133,0.451,315,918,0.343,583,813,0.717,327,1202,548,277,97,391,641,False
39,Cal State Northridge,34,20,14,0.588,-1.96,-1.27,12,8,12,3,7,8,2767,2713,1365,1012,2228,0.454,243,753,0.323,500,750,0.667,443,1407,574,234,98,447,616,False
40,California,32,21,11,0.656,11.67,7.61,9,9,16,4,4,6,2492,2344,1290,829,1871,0.443,287,796,0.361,547,702,0.779,293,1112,438,188,100,330,602,False
41,California Baptist,33,25,8,0.758,2.52,-2.93,13,5,15,0,7,7,2410,2230,1335,845,1957,0.432,212,629,0.337,508,707,0.719,458,1318,341,181,95,408,617,True
42,Campbell,34,16,18,0.471,-2.85,-0.1,8,10,10,4,3,13,2691,2639,1360,914,2010,0.455,244,740,0.33,619,853,0.726,425,1216,426,228,62,420,601,False
43,Canisius,31,10,21,0.323,-16.98,-7.85,5,15,7,8,3,13,1951,2184,1245,676,1686,0.401,222,670,0.331,377,525,0.718,320,1037,372,153,80,393,543,False
44,Central Arkansas,34,22,12,0.647,-1.34,-4.66,15,3,14,1,6,10,2749,2541,1385,967,2115,0.457,364,1040,0.35,451,636,0.709,368,1220,553,300,63,369,557,False
45,Central Connecticut State,30,18,12,0.6,-11.33,-9.94,12,6,10,4,8,8,2215,2127,1205,803,1704,0.471,219,595,0.368,390,507,0.769,272,1031,414,168,121,317,411,False
46,Central Michigan,31,10,21,0.323,-8.48,-2.48,6,12,8,5,1,15,2275,2384,1240,837,1791,0.467,201,607,0.331,400,572,0.699,311,1012,469,205,130,392,547,False
47,Charleston Southern,32,15,17,0.469,-6.7,-6.66,6,10,10,4,5,11,2670,2563,1310,942,2060,0.457,383,1060,0.361,403,623,0.647,380,1345,536,155,156,446,694,False
48,Charlotte,34,17,17,0.5,-0.2,1.08,9,9,11,6,4,8,2492,2530,1385,853,1871,0.456,296,848,0.349,490,684,0.716,376,1174,444,156,116,406,573,False
49,Chattanooga,32,13,19,0.406,-10.89,-6.96,7,11,7,8,6,9,2454,2408,1280,859,1865,0.461,338,944,0.358,398,519,0.767,250,1059,488,170,84,307,606,False
50,Chicago State,32,7,25,0.219,-16.28,-4.93,5,13,5,6,2,19,2105,2434,1285,752,1857,0.405,185,581,0.318,416,561,0.742,342,996,375,261,40,335,600,False
51,Cincinnati,33,18,15,0.545,15.5,9.95,9,9,15,3,2,8,2413,2230,1325,859,1993,0.431,296,872,0.339,399,586,0.681,367,1231,547,207,140,389,527,False
52,Clemson,34,24,10,0.706,16.99,9.57,12,6,13,3,6,5,2521,2269,1370,864,1906,0.453,279,818,0.341,514,708,0.726,316,1166,434,215,96,319,545,True
53,Cleveland State,33,11,22,0.333,-13.07,-3.04,6,14,7,8,3,13,2633,2836,1320,873,1922,0.454,357,953,0.375,530,704,0.753,324,1074,510,186,90,424,630,False
54,Coastal Carolina,32,19,13,0.594,-7.52,-5.78,11,7,8,5,10,7,2346,2323,1310,804,1950,0.412,286,844,0.339,452,620,0.729,339,1283,334,140,106,344,586,False
55,Colgate,33,18,15,0.545,-5.99,-5.38,11,7,9,5,6,10,2522,2462,1350,928,1936,0.479,243,677,0.359,423,565,0.749,292,1125,482,197,100,334,562,False
56,College of Charleston,32,21,11,0.656,-1.17,-2.59,14,4,11,4,8,4,2413,2348,1290,825,1853,0.445,208,701,0.297,555,758,0.732,340,1191,431,180,144,341,535,False
57,Colorado,32,17,15,0.531,10.89,10.36,7,11,13,5,2,8,2559,2542,1290,901,1918,0.47,238,674,0.353,519,686,0.757,319,1097,502,203,108,327,560,False
58,Colorado State,33,21,12,0.636,8.56,5.03,11,9,12,5,6,5,2510,2347,1320,833,1704,0.489,326,834,0.391,518,672,0.771,285,1062,525,176,69,391,554,False
59,Columbia,28,16,12,0.571,-2.56,-3.95,5,9,9,5,7,7,2146,2007,1130,799,1681,0.475,222,625,0.355,326,474,0.688,359,1099,443,164,84,365,460,False
60,Connecticut,34,29,5,0.853,22.92,10.53,17,3,15,2,9,2,2635,2214,1370,962,1994,0.482,283,804,0.352,428,598,0.716,395,1243,625,234,179,380,612,True
61,Coppin State,31,7,24,0.226,-24.84,-8.11,5,9,3,6,4,15,2032,2493,1245,704,1722,0.409,185,606,0.305,439,651,0.674,348,1009,362,198,107,477,572,False
62,Cornell,28,15,13,0.536,-1.67,-2.83,8,6,7,4,8,8,2477,2335,1130,869,1754,0.495,362,922,0.393,377,508,0.742,295,985,597,168,79,327,536,False
63,Creighton,32,15,17,0.469,10.57,10.47,9,11,10,6,4,8,2404,2401,1285,847,1891,0.448,315,912,0.345,395,520,0.76,303,1126,495,186,85,363,459,False
64,Dartmouth,27,11,16,0.407,-8.24,-2.92,5,9,5,8,6,8,2047,2071,1085,676,1534,0.441,272,753,0.361,423,568,0.745,238,953,375,135,99,329,433,False
65,Davidson,33,20,13,0.606,4.27,2.76,10,8,11,7,7,4,2367,2225,1335,841,1845,0.456,293,815,0.36,392,600,0.653,323,1098,453,218,143,342,556,False
66,Dayton,34,23,11,0.676,8.85,4.37,12,6,14,3,6,5,2528,2376,1375,813,1822,0.446,258,756,0.341,644,858,0.751,300,1118,487,284,137,407,567,False
67,Delaware,31,10,21,0.323,-8.65,-2.45,6,14,5,10,4,10,2098,2293,1265,720,1617,0.445,268,744,0.36,390,495,0.788,197,947,376,175,95,373,450,False
68,Delaware State,31,8,23,0.258,-22.55,-10.81,2,12,5,7,2,14,1896,2185,1250,685,1721,0.398,145,490,0.296,381,553,0.689,307,967,328,237,58,408,527,False
69,Denver,32,15,17,0.469,-5.76,-2.04,8,8,9,5,6,11,2650,2650,1280,927,1931,0.48,283,745,0.38,513,664,0.773,333,1087,371,147,64,315,571,False
70,DePaul,32,16,16,0.5,7.45,6.76,8,12,11,7,4,7,2248,2226,1280,788,1812,0.435,230,707,0.325,442,639,0.692,329,1064,480,221,110,385,573,False
71,Detroit Mercy,32,17,15,0.531,-5.62,-3.19,12,8,9,5,7,9,2471,2475,1280,870,1957,0.445,210,603,0.348,521,672,0.775,392,1203,418,191,102,362,621,False
72,Drake,34,14,20,0.412,-0.93,1.44,6,14,6,11,4,7,2552,2544,1370,881,1991,0.442,311,910,0.342,479,666,0.719,326,1202,458,186,105,348,571,False
73,Drexel,33,17,16,0.515,-4.73,-4.48,10,8,12,4,4,9,2247,2221,1320,805,1839,0.438,258,737,0.35,379,573,0.661,358,1162,438,201,122,414,551,False
74,Duke,34,32,2,0.941,31.55,12.41,17,1,15,0,10,1,2798,2147,1360,973,1986,0.49,309,881,0.351,543,750,0.724,424,1370,576,265,111,358,534,True
75,Duquesne,33,18,15,0.545,3.38,2.34,9,9,12,6,5,7,2584,2481,1340,888,1936,0.459,285,847,0.336,523,732,0.714,353,1158,499,257,101,414,639,False
76,East Carolina,31,11,20,0.355,-5.73,0.43,6,12,7,10,4,8,2217,2401,1255,771,1841,0.419,166,576,0.288,509,723,0.704,388,1133,365,199,122,379,498,False
77,East Tennessee State,34,23,11,0.676,-0.64,-7.33,13,5,13,4,8,6,2638,2356,1370,948,1942,0.488,252,736,0.342,490,659,0.744,317,1146,481,297,111,346,557,False
78,East Texas A&M,32,11,21,0.344,-11.01,-2.05,6,16,6,8,4,13,2246,2385,1280,793,1831,0.433,274,849,0.323,386,570,0.677,300,1059,515,233,102,414,542,False
79,Eastern Illinois,33,13,20,0.394,-13.46,-5.83,8,12,9,6,3,13,2214,2321,1335,791,1850,0.428,180,557,0.323,452,615,0.735,330,1083,404,256,101,411,542,False
80,Eastern Kentucky,32,11,21,0.344,-10.18,-4.58,7,11,8,7,3,13,2568,2619,1300,877,2007,0.437,360,1018,0.354,454,626,0.725,407,1153,468,224,99,376,588,False
81,Eastern Michigan,31,10,21,0.323,-5.71,-1.51,4,14,7,7,3,14,2191,2279,1250,808,1813,0.446,186,578,0.322,389,534,0.728,309,1100,392,184,129,370,564,False
82,Eastern Washington,33,14,19,0.424,-1.98,-0.48,11,7,8,4,5,13,2576,2606,1330,914,1918,0.477,239,667,0.358,509,685,0.743,336,1065,448,195,112,404,598,False
83,Elon,32,14,18,0.438,-5.48,-3.01,6,12,8,8,6,9,2500,2492,1300,872,1934,0.451,286,834,0.343,470,651,0.722,383,1136,475,221,95,346,542,False
84,Evansville,32,7,25,0.219,-8.81,3.69,3,17,5,10,1,12,2143,2447,1290,755,1764,0.428,250,763,0.328,383,524,0.731,249,1003,420,168,107,412,509,False
85,Fairfield,34,21,13,0.618,-8.06,-9.06,11,9,12,4,7,8,2528,2432,1365,924,2144,0.431,258,769,0.336,422,594,0.71,473,1308,416,227,122,346,512,False
86,FDU,32,11,21,0.344,-14.99,-7.43,8,10,8,6,3,15,2150,2245,1285,744,1803,0.413,254,820,0.31,408,578,0.706,385,1130,386,161,49,377,553,False
87,Florida,33,26,7,0.788,27.9,13.11,16,2,14,1,8,2,2864,2376,1320,1016,2125,0.478,243,789,0.308,589,830,0.71,532,1499,549,221,167,394,586,True
88,Florida A&M,31,15,16,0.484,-14.02,-8.95,11,7,8,4,5,11,2183,2312,1245,758,1741,0.435,213,654,0.326,454,651,0.697,331,1059,397,251,93,469,558,False
89,Florida Atlantic,33,18,15,0.545,3.77,1.93,9,9,11,4,4,8,2596,2453,1335,932,2021,0.461,259,780,0.332,473,666,0.71,394,1279,436,194,177,406,581,False
90,Florida Gulf Coast,34,16,18,0.471,-6.41,-5.03,8,10,11,6,3,11,2631,2598,1375,962,2119,0.454,270,833,0.324,437,608,0.719,406,1255,500,263,123,373,631,False
91,Florida International,32,15,17,0.469,-1.82,-0.47,8,12,12,6,3,10,2580,2492,1295,907,1986,0.457,233,664,0.351,533,774,0.689,420,1214,475,293,148,416,574,False
92,Florida State,33,18,15,0.545,11.66,9.24,10,8,11,6,6,5,2652,2572,1320,901,2050,0.44,343,1037,0.331,507,711,0.713,380,1166,473,261,129,361,603,False
93,Fordham,32,17,15,0.531,0.25,-0.96,8,10,11,7,4,6,2235,2095,1285,839,1907,0.44,215,732,0.294,342,491,0.697,398,1227,459,235,69,365,501,False
94,Fresno State,32,13,19,0.406,3.5,4.66,7,13,10,8,2,10,2331,2330,1280,813,1827,0.445,238,743,0.32,467,627,0.745,307,1103,409,213,70,405,533,False
95,Furman,34,22,12,0.647,-3.24,-6.14,10,8,11,5,7,5,2600,2397,1375,934,1963,0.476,302,923,0.327,430,623,0.69,370,1291,532,163,112,406,513,True
96,Gardner-Webb,33,4,29,0.121,-22.36,-1.86,1,15,3,10,0,16,2248,2820,1320,811,1897,0.428,227,735,0.309,399,583,0.684,282,1013,335,209,81,450,582,False
97,George Mason,32,23,9,0.719,6.45,1.19,11,7,17,2,4,6,2347,2160,1280,810,1706,0.475,204,598,0.341,523,718,0.728,308,1115,406,161,95,340,491,False
98,George Washington,33,18,15,0.545,9.05,2.24,8,10,12,4,3,7,2708,2433,1325,937,2008,0.467,329,935,0.352,505,703,0.718,421,1245,519,247,114,419,592,False
99,Georgetown,34,16,18,0.471,9.22,8.51,6,14,10,7,4,8,2503,2479,1375,869,1973,0.44,221,694,0.318,544,735,0.74,382,1212,502,220,121,363,606,False
100,Georgia,32,22,10,0.688,19.57,8.91,10,8,14,4,6,4,2874,2533,1300,988,2097,0.471,314,921,0.341,584,775,0.754,417,1222,478,268,195,341,545,True
101,Georgia Southern,37,21,16,0.568,-6.48,-6.02,8,10,9,5,7,8,2994,2949,1495,985,2251,0.438,370,1099,0.337,654,878,0.745,398,1263,414,299,135,386,709,False
102,Georgia State,32,10,22,0.313,-11.59,-4.59,7,11,7,7,3,12,2253,2391,1285,725,1890,0.384,260,817,0.318,543,693,0.784,343,1123,371,221,101,348,588,False
103,Georgia Tech,31,11,20,0.355,3.1,6.74,2,16,10,9,1,9,2287,2400,1245,817,1849,0.442,215,613,0.351,438,616,0.711,330,1149,489,188,122,415,558,False
104,Gonzaga,33,30,3,0.909,25.11,5.98,16,2,15,0,8,2,2809,2178,1325,1067,2092,0.51,220,648,0.34,455,651,0.699,395,1317,605,281,122,319,555,True
105,Grambling,33,14,19,0.424,-12.21,-9.99,7,11,7,5,4,13,2321,2314,1320,779,1812,0.43,219,688,0.318,544,743,0.732,341,1107,396,266,94,481,616,False
106,Grand Canyon,32,20,12,0.625,11.03,4.06,13,7,13,4,6,5,2420,2197,1285,827,1818,0.455,225,707,0.318,541,718,0.753,330,1158,410,211,115,391,592,False
107,Green Bay,33,18,15,0.545,-5.0,-3.04,12,8,10,4,6,9,2469,2470,1331,842,1734,0.486,233,644,0.362,552,721,0.766,250,1033,460,148,90,345,559,False
108,Hampton,32,13,19,0.406,-8.65,-4.55,7,11,10,2,2,12,2237,2264,1290,768,1854,0.414,205,697,0.294,496,692,0.717,399,1154,386,209,104,358,617,False
109,Harvard,29,17,12,0.586,-1.61,-4.08,10,4,8,4,9,6,2032,1934,1175,737,1592,0.463,221,638,0.346,337,422,0.799,241,936,408,208,105,323,395,False
110,Hawaii,32,24,8,0.75,4.85,-3.59,14,6,16,3,6,5,2548,2231,1290,859,1870,0.459,236,749,0.315,594,802,0.741,355,1257,439,212,130,431,571,True
111,High Point,34,30,4,0.882,6.76,-7.89,15,1,17,1,7,2,3059,2389,1370,1034,2104,0.491,314,883,0.356,677,911,0.743,395,1237,554,370,130,318,634,True
112,Hofstra,34,24,10,0.706,4.48,-2.46,12,6,10,2,9,8,2571,2246,1370,886,2005,0.442,322,876,0.368,477,639,0.746,422,1335,434,169,125,360,583,True
113,Holy Cross,33,11,22,0.333,-13.67,-6.8,5,13,6,8,4,14,2251,2418,1320,796,1826,0.436,219,683,0.321,440,582,0.756,252,1031,358,189,59,335,515,False
114,Houston,34,28,6,0.824,26.23,11.93,14,4,15,1,6,3,2623,2137,1365,944,2099,0.45,299,856,0.349,436,565,0.772,435,1244,499,263,131,289,612,True
115,Houston Christian,32,12,20,0.375,-9.76,-3.63,8,14,9,5,3,13,2147,2309,1285,758,1721,0.44,194,628,0.309,437,627,0.697,327,1021,446,213,126,398,489,False
116,Howard,33,23,10,0.697,-4.64,-11.85,11,3,11,4,7,6,2556,2236,1324,860,1875,0.459,220,637,0.345,616,843,0.731,409,1207,535,286,121,447,632,True
117,Idaho,35,21,14,0.6,-0.05,-2.7,9,9,9,4,7,9,2753,2540,1405,940,2097,0.448,349,981,0.356,524,713,0.735,373,1309,439,205,81,370,636,True
118,Idaho State,33,13,20,0.394,-5.54,-1.61,5,13,8,6,3,12,2459,2513,1326,841,1860,0.452,253,767,0.33,524,710,0.738,363,1098,393,173,139,366,582,False
119,Illinois,32,24,8,0.75,26.45,11.89,15,5,14,3,8,2,2700,2234,1300,918,1984,0.463,349,1006,0.347,515,653,0.789,422,1301,470,120,148,284,428,True
120,Illinois State,32,20,12,0.625,6.3,0.85,12,8,13,2,5,7,2404,2190,1285,861,1845,0.467,275,781,0.352,407,580,0.702,312,1142,432,183,74,363,538,False
121,Illinois-Chicago,34,19,15,0.559,3.81,0.46,12,8,9,5,7,8,2567,2379,1380,912,2006,0.455,211,654,0.323,532,729,0.73,437,1237,493,271,121,407,571,False
122,Incarnate Word,31,12,19,0.387,-7.09,-2.51,7,15,9,6,2,12,2302,2285,1240,805,1801,0.447,266,706,0.377,426,595,0.716,365,1062,362,167,77,346,548,False
123,Indiana,32,18,14,0.563,16.7,10.7,9,11,14,4,3,8,2501,2309,1295,849,1793,0.474,314,906,0.347,489,627,0.78,263,1037,531,149,86,325,585,False
124,Indiana State,32,11,21,0.344,-2.7,0.7,4,16,8,7,3,12,2354,2383,1305,866,1864,0.465,267,837,0.319,355,525,0.676,298,1122,560,198,103,439,514,False
125,Iona,32,18,14,0.563,-7.27,-7.99,10,10,11,3,6,8,2363,2340,1305,832,1899,0.438,306,871,0.351,393,556,0.707,317,1139,447,212,95,384,519,False
126,Iowa,33,21,12,0.636,19.0,9.76,10,10,14,3,3,8,2482,2177,1325,873,1777,0.491,264,739,0.357,472,613,0.77,291,971,506,235,66,320,582,True
127,Iowa State,34,27,7,0.794,27.15,10.5,12,6,16,1,5,5,2781,2215,1360,1003,2048,0.49,307,794,0.387,468,696,0.672,403,1211,586,305,92,349,543,True
128,IU Indy,32,7,25,0.219,-12.45,-4.15,3,17,5,9,2,15,2673,2825,1285,1013,2204,0.46,308,946,0.326,339,466,0.727,360,1037,648,284,102,384,706,False
129,Jackson State,33,12,21,0.364,-19.48,-5.96,10,8,7,3,4,15,2318,2764,1330,753,1936,0.389,263,838,0.314,549,724,0.758,375,1122,345,208,98,459,638,False
130,Jacksonville,32,12,20,0.375,-10.72,-5.05,7,11,8,4,3,14,2339,2349,1290,835,1836,0.455,227,695,0.327,442,616,0.718,355,1085,386,212,94,359,620,False
131,Jacksonville State,32,15,17,0.469,-3.46,-2.8,10,10,10,7,5,8,2325,2188,1290,779,1776,0.439,249,695,0.358,518,756,0.685,350,1176,386,198,98,366,549,False
132,James Madison,33,18,15,0.545,-4.96,-5.24,9,9,11,4,5,10,2460,2437,1330,854,1876,0.455,277,796,0.348,475,673,0.706,350,1212,413,172,139,385,619,False
133,Kansas,33,23,10,0.697,21.1,14.86,12,6,14,2,5,6,2496,2290,1330,883,1948,0.453,243,695,0.35,487,635,0.767,334,1282,471,181,189,352,474,True
134,Kansas City,31,4,27,0.129,-19.67,-1.92,1,15,3,11,1,15,2149,2600,1245,774,1877,0.412,208,692,0.301,393,581,0.676,327,1034,368,195,98,407,505,False
135,Kansas State,32,12,20,0.375,8.58,10.86,3,15,10,8,1,10,2546,2619,1280,929,2026,0.459,302,829,0.364,386,544,0.71,333,1088,536,225,113,412,614,False
136,Kennesaw State,34,21,13,0.618,0.13,-2.0,10,10,13,3,4,8,2834,2586,1370,940,2106,0.446,320,915,0.35,634,918,0.691,473,1371,485,241,180,404,680,True
137,Kent State,33,24,9,0.727,-0.1,-2.45,14,4,14,3,7,5,2808,2628,1345,918,2033,0.452,325,909,0.358,647,872,0.742,432,1308,529,227,113,435,651,False
138,Kentucky,34,21,13,0.618,19.8,12.86,10,8,14,4,4,6,2746,2510,1360,955,2057,0.464,275,806,0.341,561,771,0.728,406,1275,544,243,150,357,627,True
139,La Salle,32,9,23,0.281,-4.1,4.0,5,13,7,6,1,13,2148,2370,1280,745,1818,0.41,171,573,0.298,485,670,0.724,392,1122,415,218,84,388,523,False
140,Lafayette,32,11,21,0.344,-12.84,-6.58,8,10,6,10,5,11,2222,2381,1285,787,1839,0.428,236,735,0.321,412,597,0.69,297,1059,436,178,75,332,522,False
141,Lamar,31,12,19,0.387,-5.73,-3.66,7,15,7,8,5,10,2167,2143,1245,797,1856,0.429,211,641,0.329,362,516,0.702,408,1155,449,201,136,372,535,False
142,Le Moyne,32,15,17,0.469,-10.89,-9.31,10,8,9,4,5,12,2336,2341,1280,805,1751,0.46,241,709,0.34,485,675,0.719,266,1118,455,186,106,421,556,False
143,Lehigh,34,18,16,0.529,-9.32,-7.04,11,7,13,4,4,11,2490,2515,1405,886,1909,0.464,267,743,0.359,451,617,0.731,261,1083,487,228,113,412,543,True
144,Liberty,32,25,7,0.781,2.47,-1.57,17,3,14,2,10,2,2501,2253,1290,892,1736,0.514,340,854,0.398,377,535,0.705,181,931,551,202,110,283,451,False
145,Lindenwood,33,18,15,0.545,-9.11,-8.44,11,9,9,5,7,9,2566,2398,1320,928,2047,0.453,194,629,0.308,516,759,0.68,421,1295,479,293,149,446,563,False
146,Lipscomb,32,19,13,0.594,-4.18,-4.78,12,6,13,1,6,11,2549,2423,1285,911,1973,0.462,344,950,0.362,383,508,0.754,301,1107,576,224,90,361,511,False
147,Little Rock,32,12,20,0.375,-12.97,-7.71,9,11,7,6,5,13,2257,2372,1280,844,1893,0.446,208,585,0.356,361,535,0.675,363,1083,448,252,143,409,502,False
148,Long Beach State,32,10,22,0.313,-5.51,0.26,6,14,7,9,3,13,2396,2489,1295,878,1922,0.457,218,658,0.331,422,581,0.726,301,1063,418,223,95,409,647,False
149,Long Island University,34,24,10,0.706,-4.96,-7.93,15,3,14,1,10,9,2519,2418,1365,933,1941,0.481,203,562,0.361,450,674,0.668,386,1190,464,266,183,442,599,True
150,Longwood,32,16,16,0.5,-8.22,-7.88,8,8,11,4,4,10,2486,2370,1315,861,1874,0.459,198,628,0.315,566,765,0.74,390,1190,405,279,75,445,625,False
151,Louisiana,33,11,22,0.333,-12.03,-5.03,7,11,7,8,3,13,2101,2332,1320,740,1836,0.403,250,743,0.336,371,527,0.704,324,1001,340,191,116,355,627,False
