Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,in_tourney
1,Abilene Christian,33,14,19,0.424,-7.18,-1.25,5,13,9,5,3,12,2321,2389,1325,805,1840,0.438,189,603,0.313,522,741,0.704,369,1047,440,321,91,472,691,False
2,Air Force,32,3,29,0.094,-13.66,4.68,0,20,3,15,0,12,1969,2556,1280,696,1637,0.425,209,684,0.306,368,574,0.641,225,931,389,180,76,472,570,False
3,Akron,34,29,5,0.853,9.04,-3.33,17,1,15,0,9,3,3004,2499,1360,1090,2169,0.503,371,979,0.379,453,601,0.754,386,1294,627,256,105,372,536,True
4,Alabama,32,23,9,0.719,22.7,14.45,13,5,12,3,7,3,2935,2671,1290,965,2108,0.458,405,1131,0.358,600,784,0.765,391,1300,516,206,162,313,593,True
5,Alabama A&M,33,18,15,0.545,-12.99,-10.49,10,8,12,5,4,8,2378,2393,1325,784,1798,0.436,214,616,0.347,596,808,0.738,311,1126,387,198,93,376,607,False
6,Alabama State,32,10,22,0.313,-14.21,-8.14,7,11,5,4,4,15,2341,2473,1280,814,1952,0.417,238,746,0.319,475,684,0.694,400,1159,396,262,120,418,611,False
7,Albany (NY),32,11,21,0.344,-13.92,-8.09,7,9,6,5,4,13,2303,2332,1280,883,1886,0.468,235,702,0.335,302,457,0.661,360,1100,445,221,128,389,538,False
8,Alcorn State,32,9,23,0.281,-19.82,-6.54,7,11,5,4,2,18,2141,2566,1282,764,1817,0.42,204,612,0.333,409,578,0.708,301,965,356,246,109,436,565,False
9,American,32,16,16,0.5,-6.91,-6.21,9,9,11,6,5,10,2387,2283,1280,843,1876,0.449,288,864,0.333,413,550,0.751,309,1016,428,247,48,338,594,False
10,Appalachian State,32,19,13,0.594,-3.77,-5.67,11,7,11,4,7,8,2305,2114,1285,800,1818,0.44,254,837,0.303,451,703,0.642,391,1251,388,157,118,316,500,False
11,Arizona,34,32,2,0.941,29.92,12.57,16,2,16,1,9,1,2929,2339,1365,1039,2069,0.502,200,555,0.36,651,887,0.734,434,1446,576,266,144,368,544,True
12,Arizona State,33,17,16,0.515,10.79,12.79,7,11,10,5,2,9,2519,2585,1320,853,1909,0.447,245,733,0.334,568,754,0.753,337,1096,452,231,151,398,567,False
13,Arkansas,34,26,8,0.765,22.43,12.57,13,5,17,1,5,5,3058,2723,1380,1091,2182,0.5,283,728,0.389,593,794,0.747,375,1227,578,247,175,306,574,True
14,Arkansas State,32,20,12,0.625,-0.65,-4.39,11,7,11,4,9,7,2655,2471,1295,897,1988,0.451,298,896,0.333,563,768,0.733,456,1322,504,239,83,456,596,False
15,Arkansas-Pine Bluff,32,13,19,0.406,-14.79,-6.92,10,8,7,4,6,14,2472,2593,1285,855,1896,0.451,242,706,0.343,520,689,0.755,329,1076,497,229,93,430,623,False
16,Army,32,11,21,0.344,-15.28,-7.14,5,13,6,10,5,10,2309,2471,1305,806,1957,0.412,339,1045,0.324,358,501,0.715,376,1135,481,187,51,381,600,False
17,Auburn,33,17,16,0.515,17.02,13.69,7,11,11,4,2,8,2730,2620,1330,905,1981,0.457,262,776,0.338,658,885,0.744,442,1202,418,246,138,338,577,False
18,Austin Peay,31,22,9,0.71,-2.25,-6.7,15,3,12,1,9,7,2530,2269,1240,874,1867,0.468,260,725,0.359,522,703,0.743,331,1100,502,286,75,336,524,False
19,Ball State,31,12,19,0.387,-9.58,-4.27,7,11,7,7,4,11,2093,2154,1250,741,1765,0.42,218,689,0.316,393,566,0.694,301,1001,393,235,83,330,492,False
