Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Abilene Christian,29,24,5,0.828,6.27,-6.37,13.0,2.0,13.0,0.0,5.0,4.0,2196,1753,72.0,105.2,0.339,0.367,0.54,51.5,65.3,13.5,8.9,0.512,16.2,31.3,0.23,True
2,Air Force,25,5,20,0.2,-12.98,0.22,3.0,17.0,3.0,8.0,1.0,10.0,1468,1798,63.9,91.9,0.309,0.45,0.547,40.1,59.0,11.1,8.0,0.521,21.2,15.3,0.214,False
3,Akron,23,15,8,0.652,1.85,-1.96,12.0,6.0,9.0,1.0,5.0,5.0,1798,1660,70.1,110.2,0.303,0.461,0.555,51.7,48.6,6.9,8.9,0.52,14.3,31.0,0.23,False
4,Alabama,33,26,7,0.788,19.58,10.01,16.0,2.0,12.0,1.0,7.0,3.0,2629,2313,74.7,106.3,0.288,0.465,0.544,51.7,50.2,11.3,10.6,0.517,15.9,31.8,0.204,True
5,Alabama A&M,15,6,9,0.4,-18.86,-14.99,4.0,9.0,5.0,2.0,1.0,7.0,950,1008,70.1,88.9,0.318,0.329,0.475,49.8,47.3,7.7,9.1,0.448,18.6,28.1,0.199,False
6,Alabama State,18,4,14,0.222,-24.28,-16.95,4.0,14.0,3.0,6.0,1.0,8.0,1156,1288,72.4,88.8,0.427,0.347,0.476,49.1,45.7,8.4,6.1,0.435,19.3,29.5,0.277,False
7,Albany (NY),16,7,9,0.438,-4.53,-5.22,6.0,6.0,4.0,5.0,2.0,4.0,1110,1099,69.7,99.6,0.341,0.343,0.541,47.9,47.3,8.8,5.1,0.505,16.4,22.3,0.247,False
8,Alcorn State,19,6,13,0.316,-19.58,-10.06,6.0,7.0,4.0,3.0,2.0,9.0,1256,1437,71.3,92.8,0.34,0.34,0.488,47.8,40.7,10.6,5.0,0.444,17.7,29.7,0.247,False
9,American,10,4,6,0.4,-6.32,-1.82,4.0,5.0,2.0,2.0,2.0,4.0,691,736,67.5,97.5,0.268,0.427,0.55,48.2,51.6,10.3,11.4,0.526,20.1,24.1,0.189,False
10,Appalachian State,29,17,12,0.586,-5.84,-5.72,7.0,8.0,9.0,4.0,4.0,7.0,2039,1860,66.8,103.1,0.34,0.437,0.52,50.8,49.9,11.6,10.4,0.478,14.9,29.8,0.252,True
