Team,Conf,record,AdjOE,oe Rank,AdjDE,de Rank,Barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,AdjTempo
Kansas,B12,37-3,122.068121347,2,86.4152243094112,2,0.9815175274805736,1,37,3,13,3,13-3,0.6977494864944863,0.4865587298283416,0.7955824481211593,0.6977494864944863,0.4865587298283416,0.7955824481211593,0.6796317282176949,0.8427274649939084,108.88524714594035,98.03474582644571,108.88524714594035,98.03474582644571,122.78045616082986,86.71186315247682,120.15214801708692,88.1879058181144,0.9722620430406186,18,0.0272685518618438,1286.0,1017.0,1107.55,1.161121394067988,0.9182429687147308,0,0.8125,9.894086180926676,3,109,66.9581563417206
Memphis,CUSA,38-2,117.69112786651785,6,86.91244284613938,3,0.970297395448933,2,38,2,16,0,16-0,0.648313122220372,0.6410816604271135,0.5924205336428995,0.648313122220372,0.6410816604271135,0.5924205336428995,0.7418815133743786,0.7558143199664565,106.78762426894436,99.28800659070224,106.78762426894436,99.28800659070224,113.47335383248736,83.75292306175679,128.48230330434998,94.53443272998314,0.971488197063161,15,0.0611158349634424,1272.0,947.0,1126.4125,1.1292488320220166,0.8407222043434354,0,1.0,8.979002751895548,5,36,68.49457707570741
UCLA,P10,35-4,116.87790265552528,8,87.67097133819402,5,0.9646578864398208,3,35,4,16,2,16-2,0.6865983283553588,0.4731775781566071,0.795611685123863,0.6865983283553588,0.4731775781566071,0.795611685123863,0.6742357966584925,0.8240203622473279,108.7420233690266,98.28068600192292,108.7420233690266,98.28068600192292,119.075626874755,89.08281489946728,127.92717413081591,96.92523154164348,0.9605129498603552,21,0.0635698733914107,1329.0,1126.0,1176.0624999999998,1.1300419833129618,0.9574321092629008,0,0.8888888888888888,10.710874333990176,2,34,64.39196300373229
North Carolina,ACC,36-3,123.60555365148966,1,92.7981981276196,26,0.9643149086039492,4,36,3,14,2,14-2,0.720556622462639,0.5546283635767948,0.8104862353989012,0.720556622462639,0.5546283635767948,0.8104862353989012,0.6618487044864337,0.7924801846679234,107.61030195041472,96.63413651441208,107.61030195041472,96.63413651441208,120.89608548741026,92.53779126364338,121.07815077633886,88.36976088821383,0.9739520568725532,18,0.1017395325937792,1396.0,1215.0,1232.425,1.1327261293790698,0.985861208592815,0,0.875,11.889506563367332,1,5,72.99358829332967
Wisconsin,B10,31-5,113.26863995818758,36,86.29690967408797,1,0.9580185130305272,5,31,5,16,2,16-2,0.6824265775820451,0.5411385965793588,0.7316828249731704,0.6824265775820451,0.5411385965793588,0.7316828249731704,0.7064062761326283,0.7797155539858286,106.74229555356412,97.79235333058348,106.74229555356412,97.79235333058348,114.67140455229182,87.64573559397654,118.21936187795114,92.43071213509428,0.944272960826638,15,0.0291019230798322,1179.0,980.0,1082.8125,1.088831168831169,0.9050505050505052,0,0.8888888888888888,8.241770541857113,8,104,61.43220129033056
Louisville,BE,27-9,112.79630298341348,39,87.41499192029607,4,0.9493838633818248,6,27,9,14,4,14-4,0.7075369594207981,0.5695078042839572,0.7697431306811581,0.7075369594207981,0.5695078042839572,0.7697431306811581,0.6816426842057113,0.7972062177883495,107.9231840016659,97.7021757204268,107.9231840016659,97.7021757204268,112.00065544500436,86.3041201720645,124.81596374218051,93.1217981602275,0.9667124870633766,16,-0.0421726406458469,1282.0,1105.0,1206.1375,1.062897057756682,0.9161476199852836,0,0.7777777777777778,4.739487510768951,16,255,65.48410659947184
Duke,ACC,28-6,116.55033226369164,10,90.76295253614114,10,0.9466385262096206,7,28,6,13,3,13-3,0.7202908638238833,0.5946027431823891,0.8098501141349336,0.7202908638238833,0.5946027431823891,0.8098501141349336,0.6656061265157613,0.7397622026885481,108.60564982711172,97.81731311331755,108.60564982711172,97.81731311331755,117.86107887638688,91.62386113606738,126.56864480069508,96.7157455729831,0.9566279273025844,16,0.0513748378958019,1340.0,1190.0,1204.3374999999996,1.1126449188869405,0.9880951145339244,0,0.8125,8.888644733945345,6,56,71.75908269349836
Texas,B12,31-7,121.28539912920958,3,94.7061567767827,41,0.9450453913926676,8,31,7,13,3,13-3,0.6974360185342243,0.5054849027077711,0.8167847742503965,0.6974360185342243,0.5054849027077711,0.8167847742503965,0.6534669534670098,0.7656781549909683,107.91481802806486,96.755346237036,107.91481802806486,96.755346237036,116.53669461651324,92.95406898963655,132.08624185679923,100.5794762754034,0.9582667727301408,17,0.0661970456843241,1146.0,1055.0,1053.675,1.0876218947967828,1.001257503499656,0,0.8125,8.373084492908525,7,32,63.021979682322566
Georgetown,BE,28-6,113.66009825122632,32,88.75925496910871,6,0.9449959594373576,9,28,6,15,3,15-3,0.6858185304029277,0.4875852227468034,0.7675639533759236,0.6858185304029277,0.4875852227468034,0.7675639533759236,0.6917302980639565,0.821980889600891,107.9422773727992,98.4017102272787,107.9422773727992,98.4017102272787,110.04586139944392,87.13122586517653,123.44706239127942,98.44267039928316,0.9310472007453844,13,0.0411178907870356,1188.0,1056.0,1143.125,1.0392564242755604,0.9237834882449426,0,0.8333333333333334,7.660595408849325,9,76,61.259271585289035
Washington St.,P10,26-9,114.07988759339456,27,90.70791408679747,8,0.9331693674214544,10,26,9,11,7,11-7,0.6687313548272601,0.3940418863681137,0.799238876535876,0.6687313548272601,0.3940418863681137,0.799238876535876,0.6726810797408594,0.8569832568899834,108.20527159228466,99.2469806047231,108.20527159228466,99.2469806047231,115.31570181626468,92.93223141732337,115.64440735763162,91.95138087028252,0.9331734540154164,18,0.0047020038355818,1168.0,1085.0,1074.7875,1.0867264459253574,1.0095018782782643,0,0.6111111111111112,4.875819637976534,14,155,58.31756313267136
