Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,in_tourney
1,Air Force,28,9,19,0.321,-0.95,3.23,3.0,11.0,5.0,6.0,2.0,12.0,1605,1722,1160.0,533,1151,0.463,208,558,0.373,331,465,0.712,154.0,614,327,228,39,390,557.0,False
2,Akron,31,10,21,0.323,-4.83,0.37,5.0,13.0,6.0,6.0,3.0,9.0,2154,2304,1250.0,709,1581,0.448,182,491,0.371,554,731,0.758,295.0,933,416,180,77,450,570.0,False
3,Alabama,35,27,8,0.771,16.93,7.67,12.0,4.0,17.0,0.0,4.0,4.0,2658,2334,1400.0,910,2071,0.439,217,703,0.309,621,844,0.736,509.0,1369,460,257,113,490,653.0,True
4,Alabama A&M,29,19,10,0.655,-11.32,-15.8,12.0,6.0,12.0,2.0,7.0,7.0,2318,2123,1160.0,814,2010,0.405,212,681,0.311,478,711,0.672,506.0,1217,426,395,116,504,634.0,False
5,Alabama State,32,19,13,0.594,-13.25,-14.14,12.0,6.0,12.0,2.0,5.0,9.0,2095,2067,1290.0,715,1681,0.425,182,533,0.341,483,755,0.64,389.0,1167,314,217,89,538,524.0,False
6,Albany (NY),28,8,20,0.286,-16.99,-8.85,5.0,11.0,5.0,7.0,3.0,12.0,1593,1821,1125.0,594,1538,0.386,163,497,0.328,242,361,0.67,310.0,904,285,195,83,405,508.0,False
7,Alcorn State,31,21,10,0.677,-11.27,-14.17,16.0,2.0,11.0,0.0,8.0,9.0,2473,2374,1260.0,900,1935,0.465,173,458,0.378,500,777,0.644,453.0,1243,496,258,125,538,568.0,True
8,American,30,18,12,0.6,-4.99,-6.19,10.0,4.0,8.0,6.0,8.0,6.0,1977,1941,1215.0,680,1507,0.451,215,604,0.356,402,554,0.726,272.0,983,412,201,78,482,533.0,False
9,Appalachian State,28,10,18,0.357,-7.52,-0.64,5.0,11.0,7.0,6.0,3.0,11.0,2140,2211,1125.0,745,1700,0.438,170,481,0.353,480,703,0.683,367.0,1048,426,241,77,480,557.0,False
10,Arizona,34,24,10,0.706,16.91,12.47,12.0,6.0,13.0,4.0,6.0,5.0,2793,2642,1370.0,935,2039,0.459,258,686,0.376,665,910,0.731,430.0,1286,527,207,103,478,609.0,True
11,Arizona State,29,14,15,0.483,9.79,6.79,7.0,11.0,12.0,5.0,2.0,10.0,2229,2142,1165.0,812,1784,0.455,144,431,0.334,461,703,0.656,415.0,1070,475,208,77,438,688.0,False
12,Arkansas,29,14,15,0.483,12.27,10.14,6.0,10.0,11.0,5.0,3.0,7.0,2171,2108,1165.0,775,1777,0.436,232,694,0.334,389,598,0.651,319.0,930,445,306,99,413,651.0,False
13,Arkansas State,31,15,16,0.484,2.13,-1.98,5.0,9.0,9.0,4.0,3.0,9.0,2259,2076,1260.0,826,1815,0.455,190,540,0.352,417,575,0.725,403.0,1154,410,230,166,460,525.0,False
14,Arkansas-Pine Bluff,28,2,26,0.071,-27.48,-8.69,2.0,16.0,2.0,7.0,0.0,19.0,1852,2378,1120.0,647,1789,0.362,143,530,0.27,415,628,0.661,370.0,964,298,311,66,531,532.0,False
15,Army,28,12,16,0.429,-13.02,-7.44,6.0,8.0,8.0,6.0,4.0,9.0,1871,1962,1125.0,650,1518,0.428,145,425,0.341,426,596,0.715,286.0,914,326,162,74,412,543.0,False
16,Auburn,28,12,16,0.429,6.89,7.97,4.0,12.0,12.0,5.0,0.0,9.0,1835,1865,1120.0,659,1575,0.418,163,517,0.315,354,597,0.593,361.0,1011,371,229,151,503,571.0,False
17,Austin Peay,32,14,18,0.438,-4.01,-1.01,8.0,8.0,9.0,4.0,3.0,11.0,2255,2253,1295.0,803,1785,0.45,200,604,0.331,449,702,0.64,336.0,1098,383,233,134,469,561.0,False
18,Ball State,35,23,12,0.657,8.88,3.3,12.0,6.0,12.0,2.0,8.0,7.0,2731,2517,1410.0,927,2061,0.45,310,815,0.38,567,752,0.754,393.0,1253,422,218,138,443,666.0,False
