Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,in_tourney
19,Baylor,30,14,16,0.467,6.23,5.08,4.0,12.0,12.0,4.0,1.0,10.0,2296,2166,1205.0,800,1821,0.439,273,746,0.366,423,589,0.718,371.0,1083,514,278,116,428,516.0,False
20,Belmont,28,11,17,0.393,-7.1,-3.39,8.0,12.0,7.0,5.0,3.0,11.0,2020,2124,1130.0,698,1484,0.47,264,711,0.371,360,477,0.755,275.0,868,506,173,37,457,506.0,False
21,Bethune-Cookman,29,12,17,0.414,-14.33,-8.26,8.0,10.0,6.0,7.0,5.0,9.0,1983,2140,1175.0,672,1567,0.429,149,431,0.346,490,711,0.689,332.0,1030,259,210,70,504,619.0,False
22,Binghamton,28,9,19,0.321,-13.87,-9.4,6.0,10.0,3.0,8.0,4.0,8.0,1811,1936,1120.0,621,1535,0.405,194,569,0.341,375,529,0.709,310.0,944,320,177,125,442,553.0,False
23,Birmingham-Southern,27,13,14,0.481,,,,,,,,,1698,1724,1090.0,586,1403,0.418,195,593,0.329,331,506,0.654,308.0,929,331,175,119,428,517.0,False
24,Boise State,30,13,17,0.433,-1.63,2.09,6.0,12.0,9.0,6.0,3.0,11.0,1877,1973,1205.0,675,1631,0.414,164,531,0.309,363,523,0.694,318.0,907,366,184,83,426,636.0,False
25,Boston College,32,20,12,0.625,8.96,5.92,8.0,8.0,11.0,5.0,5.0,4.0,2354,2257,1290.0,801,1913,0.419,212,629,0.337,540,776,0.696,452.0,1192,431,259,106,449,657.0,True
26,Boston University,32,22,10,0.688,-4.68,-7.8,13.0,3.0,11.0,2.0,9.0,6.0,2147,2047,1295.0,748,1767,0.423,203,567,0.358,448,651,0.688,393.0,1200,399,192,84,415,467.0,True
27,Bowling Green,33,24,9,0.727,7.69,1.47,12.0,6.0,13.0,1.0,7.0,6.0,2464,2238,1340.0,834,1709,0.488,203,520,0.39,593,791,0.75,307.0,1063,473,209,93,462,757.0,False
28,Bradley,29,9,20,0.31,-3.55,0.73,5.0,13.0,6.0,7.0,2.0,10.0,1759,1883,1170.0,587,1508,0.389,134,431,0.311,451,630,0.716,335.0,1019,311,176,100,415,580.0,False
29,Brigham Young,30,18,12,0.6,9.35,5.35,7.0,7.0,17.0,0.0,1.0,11.0,2115,1951,1215.0,711,1514,0.47,170,428,0.397,523,688,0.76,265.0,1000,420,158,92,412,560.0,False
30,Brown,27,17,10,0.63,-3.54,-5.89,8.0,6.0,9.0,4.0,7.0,6.0,2090,1997,1085.0,716,1568,0.457,164,441,0.372,494,656,0.753,305.0,947,448,245,80,385,516.0,False
31,Bucknell,29,13,16,0.448,-10.24,-7.07,8.0,6.0,7.0,3.0,4.0,11.0,1791,1883,1165.0,626,1461,0.428,157,457,0.344,382,614,0.622,305.0,959,361,205,84,480,532.0,False
32,Buffalo,30,12,18,0.4,-2.77,-0.47,7.0,11.0,7.0,5.0,4.0,11.0,2018,2087,1200.0,697,1672,0.417,198,580,0.341,426,652,0.653,391.0,1074,391,191,67,465,611.0,False
33,Butler,32,26,6,0.813,11.15,-0.38,12.0,4.0,11.0,2.0,10.0,3.0,2251,1849,1295.0,788,1743,0.452,280,731,0.383,395,578,0.683,308.0,983,468,250,74,322,546.0,False
34,Cal Poly,27,15,12,0.556,-1.28,-1.48,9.0,9.0,11.0,2.0,4.0,9.0,1870,1833,1090.0,666,1564,0.426,190,562,0.338,348,512,0.68,329.0,937,368,193,71,376,500.0,False
35,Cal State Fullerton,27,5,22,0.185,-11.41,-1.06,2.0,16.0,4.0,9.0,1.0,13.0,1689,1922,1090.0,579,1448,0.4,163,513,0.318,368,560,0.657,306.0,873,329,160,90,409,492.0,False
36,Cal State Northridge,28,12,16,0.429,-2.88,0.41,11.0,7.0,7.0,6.0,5.0,9.0,1911,1946,1125.0,661,1589,0.416,158,476,0.332,431,647,0.666,372.0,1006,389,289,58,457,648.0,False
37,California,32,23,9,0.719,13.08,7.45,12.0,6.0,18.0,1.0,4.0,7.0,2310,2130,1295.0,835,1849,0.452,187,595,0.314,453,669,0.677,365.0,1087,487,254,132,423,617.0,True
38,Campbell,27,8,19,0.296,-15.38,-5.19,6.0,14.0,7.0,6.0,1.0,13.0,1909,2158,1100.0,680,1542,0.441,169,463,0.365,380,541,0.702,316.0,897,376,148,73,404,483.0,False
39,Canisius,30,10,20,0.333,-8.16,-4.82,5.0,13.0,6.0,7.0,2.0,12.0,1965,2065,1205.0,691,1806,0.383,204,636,0.321,379,552,0.687,392.0,1079,395,226,93,387,602.0,False
40,Centenary (LA),27,14,13,0.519,-5.98,-1.48,,,11.0,2.0,2.0,11.0,1947,1872,1080.0,684,1526,0.448,169,438,0.386,410,600,0.683,,896,349,214,70,392,,False
41,Central Connecticut State,32,27,5,0.844,-1.1,-9.29,19.0,1.0,13.0,2.0,11.0,2.0,2280,2018,1295.0,814,1777,0.458,139,397,0.35,513,697,0.736,418.0,1247,426,215,107,480,514.0,True
42,Central Michigan,28,9,19,0.321,-3.58,1.35,5.0,13.0,7.0,6.0,2.0,12.0,1960,2071,1135.0,677,1475,0.459,122,408,0.299,484,699,0.692,308.0,940,334,197,65,443,580.0,False
43,Charleston Southern,29,12,17,0.414,-14.18,-6.22,8.0,6.0,9.0,4.0,3.0,12.0,1823,1981,1170.0,651,1513,0.43,136,441,0.308,385,574,0.671,310.0,1003,335,242,84,533,626.0,False
44,Charlotte,30,18,12,0.6,13.62,8.69,11.0,5.0,11.0,3.0,6.0,7.0,2205,2057,1205.0,761,1730,0.44,247,676,0.365,436,616,0.708,377.0,1136,416,203,72,408,539.0,True
45,Chattanooga,30,16,14,0.533,1.21,0.57,9.0,7.0,12.0,2.0,3.0,9.0,2195,2115,1200.0,792,1798,0.44,175,507,0.345,436,606,0.719,419.0,1185,382,211,175,465,501.0,False
46,Chicago State,28,2,26,0.071,-20.25,0.51,0.0,14.0,2.0,10.0,0.0,15.0,1766,2275,1125.0,648,1620,0.4,118,426,0.277,352,571,0.616,397.0,1003,410,184,57,520,553.0,False
47,Cincinnati,35,31,4,0.886,24.59,6.76,14.0,2.0,18.0,0.0,7.0,3.0,2738,2115,1414.0,967,2071,0.467,209,577,0.362,595,839,0.709,462.0,1396,480,167,154,416,628.0,True
48,Clemson,30,13,17,0.433,3.56,5.16,4.0,12.0,8.0,8.0,3.0,7.0,2257,2305,1215.0,823,1876,0.439,182,572,0.318,429,685,0.626,462.0,1246,440,220,105,466,579.0,False
49,Cleveland State,28,12,16,0.429,-2.28,-1.46,6.0,10.0,9.0,6.0,3.0,9.0,1882,1905,1120.0,673,1513,0.445,150,457,0.328,386,603,0.64,323.0,993,325,222,125,460,547.0,False
50,Coastal Carolina,28,8,20,0.286,-16.41,-6.91,5.0,9.0,6.0,6.0,2.0,13.0,1947,2195,1120.0,633,1589,0.398,188,564,0.333,493,712,0.692,355.0,942,348,238,42,490,609.0,False
51,Colgate,28,17,11,0.607,-5.84,-7.15,8.0,6.0,9.0,4.0,8.0,6.0,2037,1935,1135.0,718,1582,0.454,143,434,0.329,458,655,0.699,305.0,951,392,210,62,370,566.0,False
52,College of Charleston,30,21,9,0.7,4.92,-3.12,9.0,7.0,10.0,4.0,7.0,4.0,2082,1824,1220.0,730,1680,0.435,169,456,0.371,453,633,0.716,391.0,1181,379,213,146,399,486.0,False
53,Colorado,29,15,14,0.517,6.17,4.99,5.0,11.0,12.0,4.0,2.0,9.0,2312,2258,1160.0,834,1842,0.453,192,538,0.357,452,668,0.677,434.0,1249,508,178,137,425,513.0,False
54,Colorado State,30,12,18,0.4,3.09,4.28,3.0,11.0,7.0,7.0,3.0,9.0,2064,2047,1220.0,731,1533,0.477,140,372,0.376,462,684,0.675,327.0,1058,455,185,99,524,712.0,False
55,Columbia,28,11,17,0.393,-6.14,-3.72,4.0,10.0,5.0,6.0,4.0,10.0,1543,1596,1125.0,508,1219,0.417,181,538,0.336,346,499,0.693,207.0,873,331,130,124,466,439.0,False
56,Connecticut,34,27,7,0.794,15.38,7.59,13.0,3.0,13.0,1.0,7.0,3.0,2646,2354,1385.0,972,2012,0.483,154,391,0.394,548,787,0.696,464.0,1381,494,256,236,545,612.0,True
57,Coppin State,31,6,25,0.194,-18.75,-7.82,3.0,15.0,3.0,7.0,2.0,12.0,1803,2130,1260.0,640,1695,0.378,125,461,0.271,398,559,0.712,399.0,1102,274,202,96,505,501.0,False
58,Cornell,27,5,22,0.185,-13.0,-2.58,2.0,12.0,4.0,8.0,1.0,13.0,1558,1797,1085.0,549,1446,0.38,200,641,0.312,260,375,0.693,257.0,884,344,190,67,395,432.0,False
59,Creighton,32,23,9,0.719,8.39,1.39,14.0,4.0,12.0,3.0,7.0,5.0,2421,2197,1310.0,849,1829,0.464,230,619,0.372,493,675,0.73,384.0,1142,488,261,125,458,599.0,True
60,Dartmouth,27,9,18,0.333,-14.02,-5.71,2.0,12.0,4.0,9.0,4.0,8.0,1698,1887,1085.0,582,1359,0.428,263,671,0.392,271,391,0.693,194.0,736,362,154,64,344,489.0,False
61,Davidson,31,21,10,0.677,0.61,0.72,11.0,5.0,11.0,2.0,7.0,6.0,2192,2046,1250.0,776,1778,0.436,249,705,0.353,391,574,0.681,369.0,1193,484,210,116,486,565.0,True
62,Dayton,32,21,11,0.656,12.74,3.39,10.0,6.0,13.0,4.0,6.0,6.0,2339,2040,1285.0,814,1816,0.448,224,629,0.356,487,715,0.681,449.0,1278,546,185,106,433,600.0,False
63,Delaware,30,14,16,0.467,-1.56,-1.39,9.0,9.0,8.0,4.0,4.0,9.0,2002,2007,1205.0,705,1715,0.411,214,635,0.337,378,521,0.726,358.0,1096,403,214,80,401,587.0,False
64,Delaware State,29,16,13,0.552,-9.37,-10.54,12.0,6.0,7.0,3.0,8.0,9.0,1880,1846,1160.0,644,1577,0.408,221,667,0.331,371,503,0.738,309.0,907,395,181,64,372,483.0,False
65,Denver,28,8,20,0.286,-8.16,-1.6,3.0,12.0,6.0,7.0,2.0,12.0,1820,1958,1120.0,681,1561,0.436,162,428,0.379,296,423,0.7,239.0,864,374,177,46,349,521.0,False
66,DePaul,28,9,19,0.321,0.36,5.55,2.0,14.0,5.0,8.0,2.0,9.0,1981,2138,1120.0,708,1715,0.413,165,528,0.313,400,610,0.656,407.0,1121,463,198,71,472,521.0,False
67,Detroit Mercy,31,18,13,0.581,2.4,1.05,11.0,5.0,11.0,1.0,7.0,9.0,2037,1995,1245.0,756,1765,0.428,167,513,0.326,358,568,0.63,383.0,1156,385,162,106,364,610.0,False
68,Drake,29,14,15,0.483,-2.16,-0.54,9.0,9.0,9.0,4.0,4.0,10.0,2007,2054,1165.0,669,1499,0.446,232,595,0.39,437,606,0.721,261.0,923,399,144,37,389,460.0,False
69,Drexel,28,14,14,0.5,-2.83,-2.4,11.0,7.0,10.0,2.0,3.0,10.0,2040,2052,1120.0,706,1721,0.41,188,583,0.322,440,648,0.679,403.0,1103,440,182,135,363,511.0,False
70,Duke,35,31,4,0.886,28.91,9.16,13.0,3.0,13.0,0.0,7.0,3.0,3112,2421,1405.0,1093,2209,0.495,301,830,0.363,625,906,0.69,428.0,1303,625,351,113,501,655.0,True
71,Duquesne,28,9,19,0.321,-4.71,3.43,4.0,12.0,7.0,6.0,2.0,12.0,1792,2020,1130.0,624,1482,0.421,152,436,0.349,392,541,0.725,296.0,940,324,162,69,447,564.0,False
72,East Carolina,30,12,18,0.4,-0.78,6.66,5.0,11.0,10.0,5.0,0.0,12.0,1932,2068,1210.0,646,1663,0.388,209,675,0.31,431,625,0.69,381.0,1060,346,176,138,442,525.0,False
73,East Tennessee State,28,18,10,0.643,3.25,-1.55,11.0,5.0,12.0,1.0,6.0,8.0,2281,2039,1125.0,822,1790,0.459,139,440,0.316,498,707,0.704,407.0,1129,392,252,119,480,565.0,False
74,Eastern Illinois,31,15,16,0.484,-8.06,-1.7,7.0,9.0,10.0,3.0,4.0,11.0,2305,2397,1245.0,802,1867,0.43,205,598,0.343,496,712,0.697,386.0,1119,443,203,91,473,587.0,False
75,Eastern Kentucky,27,7,20,0.259,-14.12,-2.33,3.0,13.0,7.0,6.0,0.0,14.0,1971,2158,1110.0,708,1739,0.407,177,592,0.299,378,523,0.723,385.0,1056,409,223,76,440,584.0,False
76,Eastern Michigan,30,6,24,0.2,-14.72,-0.68,2.0,16.0,4.0,11.0,1.0,11.0,1994,2370,1215.0,667,1581,0.422,146,433,0.337,514,745,0.69,350.0,1017,347,129,85,495,519.0,False
77,Eastern Washington,30,17,13,0.567,-2.11,-1.32,10.0,4.0,8.0,3.0,6.0,8.0,2094,2068,1205.0,706,1496,0.472,177,460,0.385,505,713,0.708,241.0,901,444,213,82,521,623.0,False
78,Elon,29,13,16,0.448,-13.42,-7.06,7.0,7.0,10.0,2.0,1.0,13.0,2016,2117,1165.0,737,1784,0.413,122,389,0.314,420,624,0.673,413.0,1051,354,260,98,501,623.0,False
79,Evansville,28,7,21,0.25,-8.36,0.68,4.0,14.0,6.0,8.0,1.0,12.0,1893,2146,1135.0,662,1472,0.45,164,473,0.347,405,562,0.721,255.0,895,413,154,75,470,571.0,False
80,Fairfield,29,12,17,0.414,-5.63,-4.29,9.0,9.0,7.0,5.0,4.0,11.0,2078,2117,1165.0,698,1616,0.432,157,463,0.339,525,719,0.73,355.0,1075,394,239,199,523,601.0,False
81,FDU,29,4,25,0.138,-19.56,-10.28,4.0,16.0,2.0,10.0,2.0,12.0,2073,2342,1190.0,713,1650,0.432,195,610,0.32,452,661,0.684,323.0,956,390,195,79,525,560.0,False
82,Florida,31,22,9,0.71,22.27,8.37,10.0,6.0,13.0,2.0,6.0,4.0,2495,2064,1260.0,892,1899,0.47,232,658,0.353,479,687,0.697,430.0,1203,519,307,141,463,580.0,True
83,Florida A&M,28,9,19,0.321,-14.55,-7.48,9.0,9.0,6.0,3.0,3.0,15.0,1863,2061,1135.0,638,1584,0.403,173,538,0.322,414,631,0.656,,991,298,223,90,500,630.0,False
84,Florida Atlantic,31,19,12,0.613,-3.94,-5.32,13.0,7.0,10.0,3.0,6.0,8.0,2303,2235,1265.0,859,2011,0.427,178,527,0.338,407,611,0.666,505.0,1212,483,294,108,474,553.0,True
85,Florida International,30,10,20,0.333,-5.42,-0.49,4.0,10.0,8.0,6.0,1.0,11.0,1908,2027,1210.0,738,1690,0.437,111,361,0.307,321,527,0.609,389.0,1015,306,286,82,474,588.0,False
86,Florida State,29,12,17,0.414,4.31,9.16,4.0,12.0,10.0,6.0,1.0,10.0,2082,2145,1165.0,759,1765,0.43,169,503,0.336,395,602,0.656,450.0,1122,382,222,101,476,540.0,False
87,Fordham,28,8,20,0.286,-4.36,3.46,4.0,12.0,5.0,5.0,2.0,12.0,1980,2199,1120.0,761,1689,0.451,117,407,0.287,341,596,0.572,427.0,1104,411,248,91,546,582.0,False
88,Fresno State,34,19,15,0.559,6.78,5.21,9.0,9.0,12.0,5.0,5.0,8.0,2481,2390,1360.0,882,1998,0.441,229,700,0.327,488,732,0.667,392.0,1329,549,226,187,519,580.0,False
89,Furman,31,17,14,0.548,-1.61,-1.23,7.0,9.0,11.0,4.0,3.0,9.0,2143,2046,1245.0,783,1802,0.435,207,564,0.367,370,565,0.655,363.0,1113,476,271,66,433,604.0,False
90,George Mason,29,19,10,0.655,0.82,-2.29,13.0,5.0,11.0,3.0,7.0,6.0,2024,1934,1160.0,710,1648,0.431,166,477,0.348,438,622,0.704,361.0,1047,412,214,92,403,470.0,False
91,George Washington,28,12,16,0.429,-2.24,3.48,5.0,11.0,6.0,5.0,3.0,8.0,1946,2106,1125.0,637,1570,0.406,182,540,0.337,490,684,0.716,348.0,974,365,177,107,447,582.0,False
92,Georgetown,30,19,11,0.633,13.16,4.2,9.0,7.0,12.0,5.0,6.0,4.0,2433,2112,1235.0,834,1864,0.447,165,476,0.347,600,828,0.725,454.0,1252,484,303,191,480,561.0,False
93,Georgia,32,22,10,0.688,14.68,9.24,10.0,6.0,12.0,2.0,6.0,6.0,2444,2271,1290.0,871,1947,0.447,189,588,0.321,513,696,0.737,468.0,1226,495,281,114,455,541.0,True
94,Georgia Southern,28,16,12,0.571,0.76,-0.79,9.0,7.0,12.0,2.0,4.0,9.0,2230,2088,1120.0,814,1797,0.453,175,514,0.34,427,677,0.631,438.0,1168,422,254,98,450,484.0,False
95,Georgia State,31,20,11,0.645,-0.79,-4.42,14.0,6.0,11.0,3.0,7.0,6.0,2388,2268,1250.0,848,1831,0.463,219,603,0.363,473,659,0.718,387.0,1139,435,205,128,450,548.0,False
96,Georgia Tech,31,15,16,0.484,8.47,8.66,7.0,9.0,10.0,7.0,4.0,6.0,2370,2376,1240.0,834,1937,0.431,261,695,0.376,441,637,0.692,440.0,1183,481,269,101,478,666.0,False
97,Gonzaga,33,29,4,0.879,13.9,0.75,13.0,1.0,13.0,0.0,11.0,2.0,2677,2197,1330.0,907,1931,0.47,237,606,0.391,626,855,0.732,425.0,1370,522,189,113,458,552.0,True
98,Grambling,28,9,19,0.321,-19.76,-9.91,7.0,11.0,8.0,4.0,1.0,15.0,2188,2427,1130.0,815,1845,0.442,159,458,0.347,399,593,0.673,385.0,1147,426,180,136,482,630.0,False
99,Green Bay,30,9,21,0.3,-4.41,-0.72,4.0,12.0,5.0,8.0,2.0,12.0,1970,2044,1210.0,684,1434,0.477,189,477,0.396,413,582,0.71,250.0,855,406,169,60,430,570.0,False
100,Hampton,33,26,7,0.788,-0.42,-8.92,17.0,1.0,10.0,0.0,11.0,4.0,2623,2344,1340.0,933,1940,0.481,218,615,0.354,539,805,0.67,457.0,1241,470,265,115,489,604.0,True
101,Hartford,32,14,18,0.438,-12.82,-8.2,10.0,6.0,8.0,5.0,5.0,10.0,1949,2097,1290.0,699,1739,0.402,152,511,0.297,399,638,0.625,448.0,1232,321,167,102,521,660.0,False
102,Harvard,26,14,12,0.538,-6.63,-6.09,7.0,7.0,9.0,3.0,4.0,9.0,1666,1680,1050.0,629,1499,0.42,152,472,0.322,256,405,0.632,330.0,925,360,236,58,418,498.0,False
103,Hawaii,33,27,6,0.818,9.82,1.15,15.0,3.0,16.0,1.0,7.0,3.0,2367,2081,1320.0,818,1818,0.45,241,634,0.38,490,716,0.684,338.0,1103,546,230,116,407,590.0,True
104,High Point,30,11,19,0.367,-14.07,-6.26,5.0,9.0,8.0,8.0,1.0,10.0,2077,2218,1220.0,741,1789,0.414,170,547,0.311,425,600,0.708,411.0,1105,378,258,78,474,548.0,False
105,Hofstra,32,12,20,0.375,-5.88,-1.38,5.0,13.0,6.0,5.0,1.0,12.0,2106,2250,1285.0,726,1856,0.391,155,528,0.294,499,741,0.673,471.0,1322,411,206,154,568,628.0,False
106,Holy Cross,33,18,15,0.545,-1.61,-5.1,9.0,5.0,9.0,3.0,6.0,8.0,2083,1968,1325.0,694,1711,0.406,148,439,0.337,547,791,0.692,420.0,1176,438,258,103,470,604.0,True
107,Houston,33,18,15,0.545,4.43,5.46,9.0,7.0,9.0,5.0,6.0,7.0,2371,2401,1330.0,828,1749,0.473,149,389,0.383,566,831,0.681,384.0,1199,442,200,146,525,623.0,False
108,Howard,31,18,13,0.581,-7.43,-9.23,11.0,7.0,10.0,2.0,5.0,10.0,2323,2267,1250.0,813,1926,0.422,226,640,0.353,471,674,0.699,382.0,1093,381,232,78,406,618.0,False
109,Idaho,28,9,19,0.321,-9.91,-1.24,6.0,12.0,5.0,9.0,4.0,9.0,1544,1764,1125.0,546,1445,0.378,137,471,0.291,315,468,0.673,329.0,894,278,180,47,362,435.0,False
110,Idaho State,27,10,17,0.37,-9.98,-4.06,3.0,11.0,8.0,4.0,1.0,12.0,1892,2002,1105.0,666,1586,0.42,185,579,0.32,375,557,0.673,299.0,901,367,234,89,399,539.0,False
111,Illinois,35,26,9,0.743,19.2,9.94,11.0,5.0,13.0,1.0,5.0,6.0,2708,2369,1400.0,908,1932,0.47,254,692,0.367,638,862,0.74,392.0,1264,590,258,141,511,691.0,True
112,Illinois State,31,17,14,0.548,0.73,1.51,12.0,6.0,11.0,2.0,4.0,9.0,2081,2105,1250.0,745,1686,0.442,164,442,0.371,427,551,0.775,306.0,969,436,207,67,442,555.0,False
113,Illinois-Chicago,34,20,14,0.588,1.46,1.43,8.0,8.0,11.0,2.0,3.0,10.0,2503,2400,1365.0,862,1953,0.441,251,619,0.405,528,802,0.658,423.0,1180,462,195,48,435,697.0,True
114,Indiana,37,25,12,0.676,19.19,12.08,11.0,5.0,10.0,1.0,6.0,5.0,2607,2316,1480.0,916,1990,0.46,270,659,0.41,505,726,0.696,406.0,1303,546,254,192,508,629.0,True
115,Indiana State,28,6,22,0.214,-4.45,1.73,4.0,14.0,4.0,10.0,2.0,11.0,1730,1903,1125.0,607,1463,0.415,167,479,0.349,349,548,0.637,270.0,880,345,153,87,365,459.0,False
116,Iona,30,13,17,0.433,-5.58,-4.25,10.0,8.0,5.0,6.0,5.0,8.0,2132,2172,1215.0,728,1674,0.435,148,441,0.336,528,761,0.694,385.0,1098,417,238,153,555,690.0,False
117,Iowa,35,19,16,0.543,12.39,7.91,5.0,11.0,13.0,4.0,2.0,9.0,2541,2384,1400.0,872,1910,0.457,208,552,0.377,589,850,0.693,441.0,1295,507,253,120,540,700.0,False
118,Iowa State,31,12,19,0.387,4.02,4.89,4.0,12.0,11.0,6.0,0.0,10.0,2161,2162,1245.0,742,1611,0.461,102,268,0.381,575,769,0.748,337.0,1104,344,155,130,455,573.0,False
119,IU Indy,30,15,15,0.5,-2.08,-0.3,6.0,8.0,8.0,5.0,4.0,8.0,2256,2230,1220.0,800,1786,0.448,213,568,0.375,443,670,0.661,385.0,1133,472,217,88,451,541.0,False
120,Jackson State,28,9,19,0.321,-16.2,-10.81,8.0,10.0,6.0,7.0,3.0,12.0,2047,2199,1145.0,738,1696,0.435,157,487,0.322,414,676,0.612,335.0,983,471,187,74,418,554.0,False
121,Jacksonville,30,18,12,0.6,-3.25,-5.25,12.0,8.0,10.0,3.0,8.0,6.0,2130,1981,1225.0,762,1764,0.432,200,629,0.318,406,610,0.666,452.0,1187,348,245,152,500,574.0,False
122,Jacksonville State,29,13,16,0.448,-9.35,-6.43,8.0,12.0,7.0,5.0,5.0,10.0,2037,2073,1180.0,710,1627,0.436,175,522,0.335,442,649,0.681,399.0,1024,367,235,66,459,563.0,False
123,James Madison,29,14,15,0.483,-3.16,-3.34,6.0,12.0,7.0,5.0,4.0,9.0,2031,2008,1160.0,707,1679,0.421,174,514,0.339,443,640,0.692,393.0,1121,313,155,105,380,552.0,False
124,Kansas,37,33,4,0.892,24.38,9.36,16.0,0.0,13.0,0.0,11.0,1.0,3365,2765,1485.0,1259,2487,0.506,224,536,0.418,623,867,0.719,557.0,1638,767,357,210,602,669.0,True
125,Kansas City,29,18,11,0.621,-0.83,-1.8,7.0,7.0,10.0,5.0,6.0,4.0,1852,1796,1175.0,653,1602,0.408,185,545,0.339,361,475,0.76,327.0,960,329,214,102,314,496.0,False
126,Kansas State,29,13,16,0.448,3.81,6.77,6.0,10.0,12.0,5.0,0.0,10.0,1985,2050,1165.0,713,1616,0.441,151,434,0.348,408,614,0.664,333.0,1016,408,169,117,418,548.0,False
127,Kent State,36,30,6,0.833,13.67,2.1,17.0,1.0,12.0,0.0,10.0,3.0,2732,2305,1450.0,986,2102,0.469,224,614,0.365,536,736,0.728,474.0,1322,483,229,72,391,685.0,True
