rank,Team,Conf,record,AdjOE,oe Rank,AdjDE,de Rank,Barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,AdjTempo
343,Northern Illinois,MAC,9-21,95.62939855115307,353,113.72272299519368,277,0.119965824561655,343,9.0,21.0,4.0,14.0,4-14,0.4370366083502945,0.4265901170262716,0.4440009358996432,0.4370366083502945,0.4265901170262716,0.4440009358996432,0.858167365742296,0.8135651408180761,108.74856123263308,109.73407525736708,108.74856123263308,109.73407525736708,93.04916840226448,112.35276558309803,98.87618443571633,114.81427993401162,0.1520456756910068,2.0,0.064193330458852,1159.0,1393.0,1233.875,0.9393171917738832,1.1289636308378077,0.0,0.2222222222222222,-15.436810250057391,309,44,67.46898924713496
344,Army,Pat,11-21,99.471408674959,329,118.49377365716484,338,0.1179085014251849,344,11.0,21.0,5.0,13.0,5-13,0.3079485188606154,0.3796134603533215,0.262117821647619,0.3079485188606154,0.3796134603533215,0.262117821647619,0.9176071267826128,0.8652690990270683,105.41749995626408,113.08071211949782,105.41749995626408,113.08071211949782,100.60729394036171,121.1959970695382,103.1236658256704,118.4915841315209,0.1683313346118701,1.0,0.0120276937081713,1288.0,1406.0,1216.425,1.0588404546108474,1.1558460242102884,0.0,0.2777777777777778,-17.483561657289872,334,143,67.15419695113594
345,Canisius,MAAC,10-21,95.4195684397516,354,113.95200260738709,287,0.1149469361371953,345,10.0,21.0,5.0,15.0,5-15,0.3199189349460655,0.3788009841162109,0.2875338079024856,0.3199189349460655,0.3788009841162109,0.2875338079024856,0.923059784592357,0.8747053714993783,103.78760393577332,111.90123085726457,103.78760393577332,111.90123085726457,95.82690054241246,114.55054990583542,0.0,0.0,0.0,0.0,0.0140995122861461,1279.0,1414.0,1298.0875,0.985295675368571,1.0892948279680683,0.0,0.25,-17.67153814586465,338,140,64.04554270122823
346,Southern Indiana,OVC,7-23,95.87214183593956,351,114.53414325964124,295,0.1145219117408558,346,7.0,23.0,4.0,16.0,4-16,0.2755482573220655,0.3524962713317742,0.2370742503172112,0.2755482573220655,0.3524962713317742,0.2370742503172112,0.9379819489134082,0.8943973910120186,102.5628727080928,112.42773699216436,102.5628727080928,112.42773699216436,96.39170321653036,114.78739470783415,0.0,0.0,0.0,0.0,-0.1196603536268405,1324.0,1433.0,1341.875,0.9866790870982768,1.0679087098276665,0.0,0.2,-20.371198143260077,357,362,67.70684676247647
347,The Citadel,SC,11-22,99.90817452329468,323,120.57278494298777,350,0.1032129608219034,347,11.0,22.0,7.0,11.0,7-11,0.3246152656312859,0.3346718349230878,0.3174008713920477,0.3246152656312859,0.3346718349230878,0.3174008713920477,0.9258390214423814,0.9028703795535798,106.96365003625148,113.68098700641234,106.96365003625148,113.68098700641234,97.99108131995138,118.38098329249958,0.0,0.0,0.0,0.0,0.0371746433853625,1244.0,1404.0,1199.6625,1.0369583111916894,1.170329155074865,0.0,0.3888888888888889,-18.536403118863134,346,90,64.16235774567217
348,Louisiana Monroe,SB,4-28,101.09633885171772,308,122.16996721028424,357,0.1017981971975903,348,4.0,28.0,1.0,17.0,1-17,0.3946003789355561,0.3793569424279903,0.4084788968510854,0.3946003789355561,0.3793569424279903,0.4084788968510854,0.8876552961726403,0.8478040564468083,106.30152253234058,109.77364179505174,106.30152253234058,109.77364179505174,100.97182557199852,121.55746798218078,124.5508712411206,127.81276673402672,0.4262175897998058,1.0,-0.1141170530592886,1288.0,1536.0,1280.9999999999998,1.0054644808743172,1.199063231850117,0.0,0.0555555555555555,-23.161457790141732,363,360,70.23593560498122
349,Maine,AE,8-24,92.03155906083695,361,111.86194702986565,238,0.0958647730183911,349,8.0,24.0,6.0,10.0,6-10,0.2989019088436441,0.4213639022706678,0.1899276174664124,0.2989019088436441,0.4213639022706678,0.1899276174664124,0.9254898523508912,0.8777922283954614,103.45789224335152,112.81271163171472,103.45789224335152,112.81271163171472,92.64955164240656,112.45165313196956,0.0,0.0,0.0,0.0,-0.0464124240440389,1022.0,1076.0,1035.9625,0.9865221955427922,1.0386476344462274,0.0,0.375,-20.673682514117267,359,291,64.730861532587
350,Saint Francis,NEC,7-24,100.41832871697127,319,122.44533832612412,358,0.0927357586720594,350,7.0,24.0,5.0,13.0,5-13,0.3314889007447094,0.5217231997198206,0.1940974625960181,0.3314889007447094,0.5217231997198206,0.1940974625960181,0.8827128847636756,0.7626910653516998,105.1378202063486,111.02471828758752,105.1378202063486,111.02471828758752,101.90588663512077,123.7461458466309,100.07005929211864,116.25347124950632,0.1513724216304708,3.0,-0.0624949918374242,1325.0,1421.0,1246.2125000000003,1.0632215613308322,1.1402549725668774,0.0,0.2777777777777778,-19.431959400113083,352,322,69.9808120778886
351,New Hampshire,AE,9-21,95.2508126518638,357,116.21066638599328,308,0.0921846381532568,351,9.0,21.0,5.0,11.0,5-11,0.3212944343010354,0.4675876497947612,0.1903975835482897,0.3212944343010354,0.4675876497947612,0.1903975835482897,0.8810690061291326,0.7756768594997764,104.3202597355946,111.68025966403049,104.3202597355946,111.68025966403049,94.87337353455044,118.51869596993612,107.19021086618514,109.40113592663307,0.4415711704512997,3.0,-0.0196254374499748,1110.0,1202.0,1101.4125,1.0077968063736338,1.091325911046043,0.0,0.3125,-16.502977204865118,321,226,67.36760152714123
352,North Carolina Central,MEAC,14-18,100.0678079747705,322,122.73881030438702,359,0.0871913191400749,352,14.0,18.0,8.0,6.0,8-6,0.2888809574732998,0.4541145987787622,0.1337821489328997,0.2888809574732998,0.4541145987787622,0.1337821489328997,0.8756626009373953,0.7623268902330689,102.57085187278338,111.5777139978076,102.57085187278338,111.5777139978076,101.8948262721345,125.27023216568462,102.72121202440036,122.99382948738712,0.1119149006684028,4.0,0.0286306627941472,1010.0,1038.0,935.15,1.0800406351922152,1.1099823557718014,0.0,0.5714285714285714,-13.137697839856294,264,107,65.73389455184896
