Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Abilene Christian,31,10,21,0.323,-17.2,-6.34,4.0,14.0,7,6,1,14,1976,2186,65.9,96.7,0.289,0.362,0.516,44.6,56.7,9.9,3.6,0.482,17.2,25.5,0.21,False
2,Air Force,31,14,17,0.452,-1.85,-0.71,6.0,12.0,11,5,1,11,2037,2017,61.1,107.1,0.311,0.399,0.567,49.4,65.1,10.3,7.4,0.548,16.9,29.1,0.205,False
3,Akron,35,21,14,0.6,3.65,-0.47,9.0,9.0,15,3,2,9,2382,2203,64.7,104.8,0.311,0.473,0.523,50.5,52.8,10.1,12.1,0.498,15.6,33.4,0.205,False
4,Alabama,34,19,15,0.559,10.52,8.09,8.0,10.0,14,5,4,8,2280,2180,63.1,105.4,0.436,0.404,0.548,49.7,46.1,10.1,11.1,0.505,16.4,30.0,0.313,False
5,Alabama A&M,29,9,20,0.31,-17.15,-9.62,8.0,10.0,4,7,5,12,1797,1988,64.5,95.6,0.419,0.376,0.489,49.5,58.2,8.8,6.1,0.451,18.3,35.8,0.271,False
6,Alabama State,29,19,10,0.655,-8.97,-12.71,14.0,4.0,9,3,8,5,2090,1937,69.8,102.9,0.35,0.276,0.515,53.5,51.6,9.1,10.6,0.487,16.4,35.9,0.228,False
7,Albany (NY),33,24,9,0.727,-0.34,-5.18,15.0,1.0,12,3,12,5,2156,1996,61.2,106.4,0.39,0.343,0.546,53.5,47.9,9.2,5.5,0.499,16.2,32.6,0.296,True
8,Alcorn State,32,6,26,0.188,-20.75,-9.95,4.0,14.0,4,7,1,15,2066,2377,68.2,94.7,0.378,0.297,0.47,46.4,39.4,8.8,6.7,0.43,14.3,31.2,0.248,False
9,American,33,17,16,0.515,-3.56,-3.71,8.0,10.0,8,3,7,13,1938,1933,57.0,101.5,0.344,0.386,0.563,45.7,59.7,10.3,8.0,0.534,17.7,21.4,0.243,False
10,Appalachian State,29,12,17,0.414,-9.81,-3.18,9.0,11.0,7,5,5,12,1841,2033,66.5,95.5,0.335,0.367,0.496,49.9,49.9,6.3,5.4,0.456,17.6,31.2,0.238,False
11,Arizona,38,34,4,0.895,24.33,7.41,16.0,2.0,17,0,8,3,2911,2268,66.5,114.8,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5,0.338,True
12,Arizona State,34,18,16,0.529,9.52,6.66,9.0,9.0,15,3,3,10,2360,2263,66.0,103.3,0.421,0.363,0.541,52.9,53.3,8.7,6.1,0.509,17.8,31.8,0.281,False
13,Arkansas,36,27,9,0.75,14.07,6.79,13.0,5.0,17,2,7,5,2787,2525,70.1,109.6,0.373,0.31,0.539,50.2,59.2,10.9,12.0,0.5,14.3,35.7,0.27,True
14,Arkansas State,29,11,18,0.379,-10.1,-3.81,6.0,14.0,5,9,6,9,1869,2018,66.9,95.5,0.325,0.315,0.496,49.1,48.3,7.9,8.1,0.459,17.2,30.3,0.228,False
15,Arkansas-Pine Bluff,32,12,20,0.375,-15.65,-8.61,9.0,9.0,5,4,5,13,1912,2140,64.7,92.0,0.357,0.373,0.499,45.0,49.2,13.6,10.7,0.462,20.3,30.5,0.242,False
16,Army,30,15,15,0.5,-6.5,-4.98,6.0,12.0,7,7,7,8,2164,2163,69.0,103.3,0.315,0.394,0.532,49.3,56.1,9.2,8.8,0.505,16.3,30.4,0.214,False
17,Auburn,35,15,20,0.429,3.27,8.15,4.0,14.0,9,8,2,10,2378,2523,67.9,99.1,0.484,0.387,0.514,46.0,49.5,9.9,7.0,0.471,16.4,28.0,0.322,False
18,Austin Peay,30,8,22,0.267,-12.45,-2.81,3.0,13.0,6,7,1,14,1937,2178,68.2,94.6,0.411,0.308,0.486,50.3,54.3,9.3,12.1,0.444,17.7,33.0,0.274,False
