Team,Conf,record,AdjOE,oe Rank,AdjDE,de Rank,Barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,AdjTempo
Ohio St.,B10,34-3,125.96069159335296,1,91.8422952511917,11,0.97423950540328,1,34,3,16,2,16-2,0.7005375392555095,0.4659749959500963,0.8388653243275388,0.7005375392555095,0.4659749959500963,0.8388653243275388,0.6840556424385869,0.8539211462306198,109.44959503492954,99.3823357267817,109.44959503492954,99.3823357267817,127.11990694731564,93.50630653059528,132.2699909996785,94.92260629935184,0.9784481957488574,18,0.0453963627794724,1341.0,1153.0,1131.1125,1.1855584656698606,1.0193504182828852,0,0.8888888888888888,11.689658401417088,1,74,63.75516530930261
Kansas,B12,35-3,120.86764379188166,4,90.96159287913534,6,0.9633490135898988,2,35,3,14,2,14-2,0.6876809595522836,0.5443763481572733,0.7783860231664295,0.6876809595522836,0.5443763481572733,0.7783860231664295,0.7279327901180986,0.8194504457611883,108.5737202907534,100.09667345341238,108.5737202907534,100.09667345341238,123.14782399042063,92.80150413288573,131.55397133354538,96.2567334588548,0.9732102312250632,10,0.0507200350896389,1298.0,1105.0,1115.325,1.1637863403043955,0.9907426086566696,0,0.875,10.217371818281013,2,65,67.99623750147512
Duke,ACC,32-5,120.59474788527262,5,91.472331472896,8,0.960020612420433,3,32,5,13,3,13-3,0.7115911555458866,0.6154834605609255,0.7702424494951933,0.7115911555458866,0.6154834605609255,0.7702424494951933,0.7034733888731315,0.7861275931611549,107.96945190692608,98.18675333700206,107.96945190692608,98.18675333700206,114.24236137777004,89.43212377500748,123.65903518971112,97.60553580217676,0.9382446013696134,16,0.0197987257118252,1189.0,1018.0,1093.375,1.0874585572196185,0.9310620784268892,0,0.8125,9.288642791602314,3,120,68.48685447223575
Texas,B12,28-8,115.46205822721416,21,90.01908162848602,2,0.94596550999917,4,28,8,13,3,13-3,0.6702690990239023,0.5545266538671975,0.737536753332512,0.6702690990239023,0.5545266538671975,0.737536753332512,0.7147920662038306,0.7605619140301056,107.92660802219496,99.37478419004113,107.92660802219496,99.37478419004113,115.0899005115877,84.9319700374859,127.63303439398972,103.50892866717447,0.9175311239988314,12,-0.0294543854076584,1153.0,944.0,1050.8249999999998,1.0972331263531037,0.8983417790783433,0,0.8125,5.406718359711996,13,242,65.46849348270952
Kentucky,SEC,29-9,119.307927716382,7,93.3651610635984,22,0.9437300426137276,5,29,9,10,6,10-6,0.7120218129449819,0.6056562406824911,0.7268789064170815,0.7120218129449819,0.6056562406824911,0.7268789064170815,0.6625369488428433,0.7200263358573868,109.03826712765088,98.2144497520108,109.03826712765088,98.2144497520108,117.06867210458368,94.15037275852696,123.58579914498615,96.79855169789306,0.9431865793079292,17,0.0023298034875676,1175.0,1051.0,1062.725,1.1056482156719751,0.9889670422734008,0,0.625,5.166920525586923,15,161,64.83522815875777
Pittsburgh,BE,28-6,119.7561928463093,6,94.08056487098284,26,0.9413111678360084,6,28,6,15,3,15-3,0.6849474318175807,0.4924389449070678,0.8120098789599529,0.6849474318175807,0.4924389449070678,0.8120098789599529,0.7059578469076991,0.8389064031272712,108.00203612595772,99.11525052536676,108.00203612595772,99.11525052536676,117.54519149200668,89.87105778860749,130.19364665331864,99.55269679530475,0.9563057778127628,14,0.0308054680913902,1247.0,1081.0,1122.825,1.1105915881815955,0.9627502059537328,0,0.8333333333333334,7.492064069167037,6,101,62.15251706586487
Wisconsin,B10,25-9,123.05297076299308,3,97.82790429793091,65,0.9332773671504868,7,25,9,13,5,13-5,0.7221239510417266,0.480389405141642,0.8513882296149339,0.7221239510417266,0.480389405141642,0.8513882296149339,0.6439681444066925,0.8000688027958135,110.31041009393032,98.94353161410226,110.31041009393032,98.94353161410226,127.4828508543843,99.50054260017116,126.02492939170696,101.45132213812926,0.923745302906958,18,0.0189392572854372,1223.0,1123.0,1027.4,1.1903834923106873,1.0930504185322174,0,0.7222222222222222,5.636913994432113,12,124,56.49000261841907
Notre Dame,BE,27-7,123.1319948490756,2,98.10678689021944,70,0.9316811009236186,8,27,7,14,4,14-4,0.7064012426568194,0.4944844604197642,0.8221547004704476,0.7064012426568194,0.4944844604197642,0.8221547004704476,0.6702622178249056,0.8002929985350143,108.34704068688475,98.61546972326153,108.34704068688475,98.61546972326153,122.14684978861568,97.11960065293997,139.07939463290654,113.54043687057391,0.911588606648686,17,0.0572223585148544,1290.0,1204.0,1136.8625000000002,1.134701865880878,1.059055074822153,0,0.7777777777777778,7.664161007129051,5,54,63.044341129011954
Purdue,B10,26-8,115.18959946269398,22,92.03808929788752,13,0.9295852000181876,9,26,8,14,4,14-4,0.7245884788790528,0.5612941391092194,0.8404421276881483,0.7245884788790528,0.5612941391092194,0.8404421276881483,0.6658863100130344,0.7901259186721459,109.2359338464086,98.34859794559512,109.2359338464086,98.34859794559512,118.75607914432996,91.0992431046156,114.07686306162408,88.76141217347504,0.947129243517046,13,0.0378148938463649,1305.0,1158.0,1166.35,1.1188751232477387,0.9928409139623612,0,0.7777777777777778,6.977847243945831,9,89,65.61692136879871
San Diego St.,MWC,32-3,113.72206062914134,29,90.9329350045941,5,0.9290247545776322,10,32,3,14,2,14-2,0.666505368170268,0.606180740447598,0.6705627034803409,0.666505368170268,0.606180740447598,0.6705627034803409,0.7443060683588921,0.8013028596221395,107.57349186651314,99.79273332368068,107.57349186651314,99.79273332368068,111.08594404982374,89.09867996288013,126.87234230314384,100.04551052875318,0.938882750700828,11,0.1160455424134087,1121.0,947.0,1033.65,1.0845063609539014,0.9161708508682824,0,0.875,8.736886596444444,4,8,62.151123903373886
