season,round,round_num,team1,team2,seed1,seed2,seed_diff,seed_sum,seed_diff_sq,abs_seed_diff,higher_seed_is_team1,round_x_seeddiff,is_upset_seed,seed1_sq,seed2_sq,seed_product,log_seed_ratio,target,score_diff,SRS_diff,SOS_diff,eFG%_diff,TOV%_diff,SRS_sum,AdjOE_diff,AdjDE_diff,Barthag_diff,AdjTempo_diff,WAB_diff,AdjOE_avg,OE_vs_DE_1,OE_vs_DE_2,AdjDE_avg,AdjTempo_avg,ORtg_diff,Pace_diff,ORB%_diff,Pace_avg,ORtg_avg
2002,R64,1,Oregon,Montana,2.0,15.0,-13.0,17.0,169.0,13.0,1,-13.0,0,4.0,225.0,30.0,2.0149030205422647,1,19.0,23.860000000000003,8.65,0.041000000000000036,-2.5,15.48,,,,,,,,,,,,,,,
2002,R32,2,Kansas,Stanford,1.0,8.0,-7.0,9.0,49.0,7.0,1,-14.0,0,1.0,64.0,8.0,2.0794415416798357,1,23.0,7.349999999999998,0.33000000000000007,0.04300000000000004,1.5999999999999996,41.41,,,,,,,,,,,,,,,
2002,R32,2,Creighton,Illinois,12.0,4.0,8.0,16.0,64.0,8.0,0,16.0,1,144.0,16.0,48.0,-1.0986122886681098,0,-12.0,-10.809999999999999,-8.549999999999999,-0.009000000000000008,-0.29999999999999716,27.59,,,,,,,,,,,,,,,
2002,R32,2,Texas,Mississippi State,6.0,3.0,3.0,9.0,9.0,3.0,0,6.0,1,36.0,9.0,18.0,-0.6931471805599453,1,4.0,-0.10999999999999943,2.6400000000000006,-0.029000000000000026,-4.199999999999999,28.75,,,,,,,,,,,,,,,
2002,R32,2,Wake Forest,Oregon,7.0,2.0,5.0,9.0,25.0,5.0,0,10.0,1,49.0,4.0,14.0,-1.252762968495368,0,-5.0,-4.420000000000002,3.339999999999999,-0.025000000000000022,0.6999999999999993,34.92,,,,,,,,,,,,,,,
2002,S16,3,Kansas,Illinois,1.0,4.0,-3.0,5.0,9.0,3.0,1,-9.0,0,1.0,16.0,4.0,1.3862943611198906,1,4.0,5.18,-0.5800000000000001,0.015000000000000013,-0.6999999999999993,43.58,,,,,,,,,,,,,,,
2002,S16,3,Texas,Oregon,6.0,2.0,4.0,8.0,16.0,4.0,0,12.0,1,36.0,4.0,12.0,-1.0986122886681098,0,-2.0,-5.350000000000001,3.04,-0.06000000000000005,-0.3999999999999986,33.99,,,,,,,,,,,,,,,
2002,E8,4,Kansas,Oregon,1.0,2.0,-1.0,3.0,1.0,1.0,1,-4.0,0,1.0,4.0,2.0,0.6931471805599453,1,18.0,4.709999999999997,2.419999999999999,-0.009000000000000008,1.0,44.05,,,,,,,,,,,,,,,
2002,R64,1,Duke,Winthrop,1.0,16.0,-15.0,17.0,225.0,15.0,1,-15.0,0,1.0,256.0,16.0,2.772588722239781,1,47.0,35.44,17.36,0.08899999999999997,-2.1999999999999993,22.38,,,,,,,,,,,,,,,
2002,R64,1,Notre Dame,Charlotte,8.0,9.0,-1.0,17.0,1.0,1.0,1,-1.0,0,64.0,81.0,72.0,0.11778303565638346,1,19.0,2.0500000000000007,-2.55,0.007000000000000006,-1.3000000000000007,29.29,,,,,,,,,,,,,,,
