Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Abilene Christian,33,14,19,0.424,-7.18,-1.25,5,13,9,5,3,12,2321,2389,69.3,101.1,0.403,0.328,0.529,50.4,54.7,14.0,8.1,0.489,17.7,32.6,0.284,False
2,Air Force,32,3,29,0.094,-13.66,4.68,0,20,3,15,0,12,1969,2556,67.4,91.3,0.351,0.418,0.516,44.8,55.9,8.3,6.8,0.489,19.8,21.4,0.225,False
3,Akron,34,29,5,0.853,9.04,-3.33,17,1,15,0,9,3,3004,2499,71.8,123.1,0.277,0.451,0.612,53.5,57.5,10.5,9.1,0.588,13.2,34.0,0.209,True
4,Alabama,32,23,9,0.719,22.7,14.45,13,5,12,3,7,3,2935,2671,74.6,122.0,0.372,0.537,0.592,50.4,53.5,8.6,11.3,0.554,11.2,31.8,0.285,True
5,Alabama A&M,33,18,15,0.545,-12.99,-10.49,10,8,12,5,4,8,2378,2393,67.8,105.9,0.449,0.343,0.545,49.9,49.4,8.8,7.9,0.496,14.7,28.0,0.331,False
6,Alabama State,32,10,22,0.313,-14.21,-8.14,7,11,5,4,4,15,2341,2473,71.9,101.7,0.35,0.382,0.514,50.0,48.6,11.4,11.0,0.478,15.5,32.7,0.243,False
7,Albany (NY),32,11,21,0.344,-13.92,-8.09,7,9,6,5,4,13,2303,2332,66.6,108.1,0.242,0.372,0.548,51.5,50.4,10.4,11.6,0.53,15.6,33.8,0.16,False
8,Alcorn State,32,9,23,0.281,-19.82,-6.54,7,11,5,4,2,18,2141,2566,69.4,96.0,0.318,0.337,0.512,44.9,46.6,11.0,9.1,0.477,17.2,26.9,0.225,False
9,American,32,16,16,0.5,-6.91,-6.21,9,9,11,6,5,10,2387,2283,67.5,110.6,0.293,0.461,0.558,48.7,50.8,11.4,4.5,0.526,13.7,28.3,0.22,False
10,Appalachian State,32,19,13,0.594,-3.77,-5.67,11,7,11,4,7,8,2305,2114,64.7,110.9,0.387,0.46,0.536,53.5,48.5,7.6,10.8,0.51,12.8,34.3,0.248,False
11,Arizona,34,32,2,0.941,29.92,12.57,16,2,16,1,9,1,2929,2339,71.3,120.3,0.429,0.268,0.588,57.3,55.4,10.9,10.8,0.551,12.9,38.1,0.315,True
