team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
Virginia,3,Midwest,1.0,0.964398,0.516097,0.225265,0.044941,0.010469,0.00197,0.85,1.0705882352941176,0.62,1.2008310580645163,0.38,0.8529182,0.18,0.635747888888889,0.08,0.25166960000000005,0.04,0.1109714,0.015,0.00197
Alabama,4,Midwest,1.0,0.904777,0.365297,0.066971,0.037717,0.009352,0.001869,0.79,1.1063291139240505,0.52,1.2388485076923077,0.28,0.741031057142857,0.12,0.2634192666666667,0.05,0.3243662,0.025,0.009352,0.008,0.001869
Nebraska,4,South,1.0,0.945455,0.336582,0.080666,0.0237,0.005803,0.001021,0.79,1.1063291139240505,0.52,1.294546076923077,0.28,0.6827806285714286,0.12,0.31728626666666665,0.05,0.20382,0.025,0.005803,0.008,0.001021
Iowa,9,South,1.0,0.507446,0.079142,0.037364,0.010801,0.0029,0.000457,0.4288571717793944,1.5327114627472325,0.1849972113558172,1.401664679417583,0.06727171322029717,0.5180663474777268,0.021022410381342865,0.7333549543193867,0.006727171322029716,0.010801,0.0025226892457611435,0.0029,0.001,0.000457
BYU,6,West,1.0,0.626209,0.270029,0.077809,0.009834,0.001311,0.000289,0.63,1.234920634920635,0.35,1.0913928285714287,0.14,0.9335288285714286,0.05,0.6691574,0.02,0.009834,0.008,0.001311,0.003,0.000289
North Carolina,6,South,1.0,0.76073,0.166689,0.044587,0.00829,0.001833,0.000222,0.63,1.234920634920635,0.35,1.3258437142857145,0.14,0.5762676857142858,0.05,0.3834482,0.02,0.00829,0.008,0.001833,0.003,0.000222
Utah St.,9,West,1.0,0.440942,0.04369,0.019884,0.006443,0.000833,0.000177,0.4288571717793944,1.5327114627472325,0.1849972113558172,1.2179676794609635,0.06727171322029717,0.04369,0.021022410381342865,0.019884,0.006727171322029716,0.006443,0.0025226892457611435,0.000833,0.001,0.000177
Villanova,8,West,1.0,0.559058,0.061444,0.02409,0.007176,0.000921,0.000163,0.51,1.384313725490196,0.22,1.351903890909091,0.08,0.34408640000000007,0.025,0.02409,0.008,0.007176,0.003,0.000921,0.001,0.000163
Clemson,8,South,1.0,0.492554,0.067889,0.023687,0.005167,0.000969,0.000135,0.51,1.384313725490196,0.22,1.1910851272727272,0.08,0.3801784,0.025,0.023687,0.008,0.005167,0.003,0.000969,0.001,0.000135
Kentucky,7,Midwest,1.0,0.582673,0.131195,0.034251,0.005033,0.000813,0.000112,0.61,1.2557377049180327,0.3,1.1265011333333332,0.12,0.5160336666666667,0.04,0.36306059999999996,0.015,0.005033,0.006,0.000813,0.002,0.000112
Saint Mary's,7,South,1.0,0.680755,0.10415,0.021284,0.004119,0.000803,0.000103,0.61,1.2557377049180327,0.3,1.3161263333333333,0.12,0.4096566666666667,0.04,0.021284,0.015,0.004119,0.006,0.000803,0.002,0.000103
Texas,11,West,1.0,0.373791,0.149746,0.034197,0.004097,0.000495,9.1e-05,0.30324781432569387,1.9190532003979839,0.1308127826502993,1.367254643469459,0.04756828460010884,1.3490563459858274,0.014865088937534014,0.9407145107978009,0.004756828460010884,0.004097,0.0017838106725040815,0.000495,0.001,9.1e-05
Georgia,8,Midwest,1.0,0.699498,0.068618,0.022267,0.007645,0.00095,8.2e-05,0.51,1.384313725490196,0.22,1.6915133454545455,0.08,0.3842608,0.025,0.022267,0.008,0.007645,0.003,0.00095,0.001,8.2e-05
Miami (FL),7,West,1.0,0.635847,0.115402,0.032812,0.004055,0.000525,7.9e-05,0.61,1.2557377049180327,0.3,1.2293042000000003,0.12,0.4539145333333334,0.04,0.34780720000000004,0.015,0.004055,0.006,0.000525,0.002,7.9e-05
Santa Clara,10,Midwest,1.0,0.417327,0.123568,0.031542,0.004117,0.00059,6.5e-05,0.3606244584051393,1.7091871077436038,0.15556349186104046,1.3234680242626848,0.05656854249492381,0.9478985073765929,0.01767766952966369,0.7326391869499544,0.005656854249492381,0.004117,0.002121320343559643,0.00059,0.001,6.5e-05
Texas A&M,10,South,1.0,0.319245,0.050027,0.00811,0.001183,0.0002,2.6e-05,0.3606244584051393,1.7091871077436038,0.15556349186104046,1.0124208340359977,0.05656854249492381,0.3837605094241941,0.01767766952966369,0.00811,0.005656854249492381,0.001183,0.002121320343559643,0.0002,0.001,2.6e-05
Miami (OH),11,Midwest,1.0,0.161445,0.04981,0.013054,0.001431,0.000134,1.5e-05,0.30324781432569387,1.9190532003979839,0.1308127826502993,0.5905343518568581,0.04756828460010884,0.04981,0.014865088937534014,0.013054,0.004756828460010884,0.001431,0.0017838106725040815,0.000134,0.001,1.5e-05
Missouri,10,West,1.0,0.364153,0.058537,0.014442,0.001642,0.000177,1.4e-05,0.3606244584051393,1.7091871077436038,0.15556349186104046,1.154837457052454,0.05656854249492381,0.4490412965031693,0.01767766952966369,0.014442,0.005656854249492381,0.001642,0.002121320343559643,0.000177,0.001,1.4e-05
