team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
Penn,14,South,1.0,0.04134,0.003447,0.00024,8e-06,1e-06,0.0,0.18031222920256965,5.545935538718019,0.07778174593052023,0.5314871697136705,0.028284271247461905,0.0,0.008838834764831846,0.0,0.0028284271247461905,0.0,0.0010606601717798214,0.0,0.001,0.0
Cal Baptist,13,East,1.0,0.079015,0.009006,0.000544,3.7e-05,5e-06,0.0,0.2144285858896972,4.6635573137361614,0.0924986056779086,0.854229092654,0.03363585661014858,0.0,0.010511205190671433,0.0,0.003363585661014858,0.0,0.0012613446228805717,0.0,0.001,0.0
Idaho,15,South,1.0,0.031945,0.003763,0.000261,1e-05,2e-06,0.0,0.15162390716284693,6.595266001989918,0.06540639132514965,0.48840792700508934,0.02378414230005442,0.0,0.007432544468767007,0.0,0.002378414230005442,0.0,0.001,0.0,0.001,0.0
Howard,16,Midwest,1.0,0.025785,0.002435,0.000169,1.3e-05,0.0,0.0,0.1275,7.8431372549019605,0.055,0.4688181818181818,0.02,0.0,0.00625,0.0,0.002,0.0,0.001,0.0,0.001,0.0
Queens (N.C.),15,West,1.0,0.033875,0.00275,0.00014,4e-06,0.0,0.0,0.15162390716284693,6.595266001989918,0.06540639132514965,0.5179157466676289,0.02378414230005442,0.0,0.007432544468767007,0.0,0.002378414230005442,0.0,0.001,0.0,0.001,0.0
Long Island,16,West,1.0,0.024147,0.002001,0.000157,1.3e-05,0.0,0.0,0.1275,7.8431372549019605,0.055,0.4390363636363636,0.02,0.0,0.00625,0.0,0.002,0.0,0.001,0.0,0.001,0.0
Missouri,10,West,1.0,0.364153,0.058537,0.014442,0.001642,0.000177,1.4e-05,0.3606244584051393,2.7729677693590093,0.15556349186104046,2.3408641426311347,0.05656854249492381,1.0347977412579232,0.01767766952966369,0.0,0.005656854249492381,0.0,0.002121320343559643,0.0,0.001,0.0
High Point,12,West,1.0,0.088263,0.011632,0.000616,6.6e-05,4e-06,0.0,0.255,3.9215686274509802,0.11,0.802390909090909,0.04,0.0,0.0125,0.0,0.004,0.0,0.0015,0.0,0.001,0.0
Hawaii,13,West,1.0,0.094099,0.011092,0.000649,5.7e-05,2e-06,0.0,0.2144285858896972,4.6635573137361614,0.0924986056779086,1.0173018210421914,0.03363585661014858,0.0,0.010511205190671433,0.0,0.003363585661014858,0.0,0.0012613446228805717,0.0,0.001,0.0
Troy,13,South,1.0,0.054545,0.003225,0.000169,1.6e-05,4e-06,0.0,0.2144285858896972,4.6635573137361614,0.0924986056779086,0.5896845644347584,0.03363585661014858,0.0,0.010511205190671433,0.0,0.003363585661014858,0.0,0.0012613446228805717,0.0,0.001,0.0
Kennesaw St.,14,West,1.0,0.046873,0.00345,0.000268,1.4e-05,2e-06,0.0,0.18031222920256965,5.545935538718019,0.07778174593052023,0.6026221119010371,0.028284271247461905,0.0,0.008838834764831846,0.0,0.0028284271247461905,0.0,0.0010606601717798214,0.0,0.001,0.0
Prairie View A&M,16,South,1.0,0.026156,0.002206,0.000149,1.2e-05,1e-06,0.0,0.1275,7.8431372549019605,0.055,0.47556363636363636,0.02,0.0,0.00625,0.0,0.002,0.0,0.001,0.0,0.001,0.0
