team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
UCLA,7,East,1.0,0.83024,0.380952,0.118808,0.020616,0.006822,0.002064,0.61,1.0319672131147541,0.3,0.9271013333333333,0.12,0.5206344,0.04,0.2613776,0.015,0.0883052,0.006,0.006822,0.002,0.002064
Virginia,3,Midwest,1.0,0.964398,0.516097,0.225265,0.044941,0.010469,0.00197,0.85,1.0088235294117647,0.62,0.9939521322580644,0.38,0.5581996499999999,0.18,0.27657536111111114,0.08,0.070782075,0.04,0.023031799999999998,0.015,0.00197
Alabama,4,Midwest,1.0,0.904777,0.365297,0.066971,0.037717,0.009352,0.001869,0.79,1.0132911392405062,0.52,0.9465359384615385,0.28,0.4122637571428571,0.12,0.09152703333333334,0.05,0.07354815,0.025,0.009352,0.008,0.001869
Nebraska,4,South,1.0,0.945455,0.336582,0.080666,0.0237,0.005803,0.001021,0.79,1.0132911392405062,0.52,0.9890913846153846,0.28,0.37985682857142855,0.12,0.11024353333333334,0.05,0.04621499999999999,0.025,0.005803,0.008,0.001021
Iowa,9,South,1.0,0.507446,0.079142,0.037364,0.010801,0.0029,0.000457,0.4288571717793944,1.066588932843404,0.1849972113558172,0.6192233349271978,0.06727171322029717,0.13400754343471585,0.021022410381342865,0.12436286928992335,0.006727171322029716,0.010801,0.0025226892457611435,0.0029,0.001,0.000457
BYU,6,West,1.0,0.626209,0.270029,0.077809,0.009834,0.001311,0.000289,0.63,1.0293650793650793,0.35,0.6843569785714286,0.14,0.3529664785714286,0.05,0.15172755,0.02,0.009834,0.008,0.001311,0.003,0.000289
North Carolina,6,South,1.0,0.76073,0.166689,0.044587,0.00829,0.001833,0.000222,0.63,1.0293650793650793,0.35,0.8313692142857143,0.14,0.2178863357142857,0.05,0.08694465,0.02,0.00829,0.008,0.001833,0.003,0.000222
Utah St.,9,West,1.0,0.440942,0.04369,0.019884,0.006443,0.000833,0.000177,0.4288571717793944,1.066588932843404,0.1849972113558172,0.5380702099326204,0.06727171322029717,0.04369,0.021022410381342865,0.019884,0.006727171322029716,0.006443,0.0025226892457611435,0.000833,0.001,0.000177
Villanova,8,West,1.0,0.559058,0.061444,0.02409,0.007176,0.000921,0.000163,0.51,1.0480392156862746,0.22,0.6581637363636363,0.08,0.09677430000000001,0.025,0.02409,0.008,0.007176,0.003,0.000921,0.001,0.000163
Clemson,8,South,1.0,0.492554,0.067889,0.023687,0.005167,0.000969,0.000135,0.51,1.0480392156862746,0.22,0.5798703909090909,0.08,0.106925175,0.025,0.023687,0.008,0.005167,0.003,0.000969,0.001,0.000135
Kentucky,7,Midwest,1.0,0.582673,0.131195,0.034251,0.005033,0.000813,0.000112,0.61,1.0319672131147541,0.3,0.6506515166666667,0.12,0.17929983333333335,0.04,0.0753522,0.015,0.005033,0.006,0.000813,0.002,0.000112
Saint Mary's,7,South,1.0,0.680755,0.10415,0.021284,0.004119,0.000803,0.000103,0.61,1.0319672131147541,0.3,0.7601764166666667,0.12,0.14233833333333334,0.04,0.021284,0.015,0.004119,0.006,0.000803,0.002,0.000103
Texas,11,West,1.0,0.373791,0.149746,0.034197,0.004097,0.000495,9.1e-05,0.30324781432569387,1.1148816500497478,0.1308127826502993,0.4979739554336824,0.04756828460010884,0.29965979324822845,0.014865088937534014,0.1475116888497251,0.004756828460010884,0.004097,0.0017838106725040815,0.000495,0.001,9.1e-05
Georgia,8,Midwest,1.0,0.699498,0.068618,0.022267,0.007645,0.00095,8.2e-05,0.51,1.0480392156862746,0.22,0.8234999181818181,0.08,0.10807335,0.025,0.022267,0.008,0.007645,0.003,0.00095,0.001,8.2e-05
Miami (FL),7,West,1.0,0.635847,0.115402,0.032812,0.004055,0.000525,7.9e-05,0.61,1.0319672131147541,0.3,0.71002915,0.12,0.15771606666666668,0.04,0.0721864,0.015,0.004055,0.006,0.000525,0.002,7.9e-05
Santa Clara,10,Midwest,1.0,0.417327,0.123568,0.031542,0.004117,0.00059,6.5e-05,0.3606244584051393,1.0886483884679503,0.15556349186104046,0.5305946280328355,0.05656854249492381,0.2266093134220741,0.01767766952966369,0.11917914836874431,0.005656854249492381,0.004117,0.002121320343559643,0.00059,0.001,6.5e-05
Texas A&M,10,South,1.0,0.319245,0.050027,0.00811,0.001183,0.0002,2.6e-05,0.3606244584051393,1.0886483884679503,0.15556349186104046,0.4058919792544997,0.05656854249492381,0.09174368867802427,0.01767766952966369,0.00811,0.005656854249492381,0.001183,0.002121320343559643,0.0002,0.001,2.6e-05
Miami (OH),11,Midwest,1.0,0.161445,0.04981,0.013054,0.001431,0.000134,1.5e-05,0.30324781432569387,1.1148816500497478,0.1308127826502993,0.21508116898210727,0.04756828460010884,0.04981,0.014865088937534014,0.013054,0.004756828460010884,0.001431,0.0017838106725040815,0.000134,0.001,1.5e-05
Missouri,10,West,1.0,0.364153,0.058537,0.014442,0.001642,0.000177,1.4e-05,0.3606244584051393,1.0886483884679503,0.15556349186104046,0.46298855713155673,0.05656854249492381,0.10735003706289617,0.01767766952966369,0.014442,0.005656854249492381,0.001642,0.002121320343559643,0.000177,0.001,1.4e-05
TCU,9,East,1.0,0.190832,0.014357,0.00332,0.000686,8e-05,1.4e-05,0.4288571717793944,1.066588932843404,0.1849972113558172,0.23286739367504528,0.06727171322029717,0.014357,0.021022410381342865,0.00332,0.006727171322029716,0.000686,0.0025226892457611435,8e-05,0.001,1.4e-05
UCF,10,East,1.0,0.16976,0.033663,0.005092,0.000506,8.1e-05,1.1e-05,0.3606244584051393,1.0886483884679503,0.15556349186104046,0.21583493053374014,0.05656854249492381,0.033663,0.01767766952966369,0.005092,0.005656854249492381,0.000506,0.002121320343559643,8.1e-05,0.001,1.1e-05
South Florida,11,East,1.0,0.214747,0.040003,0.00837,0.000816,0.000104,9e-06,0.30324781432569387,1.1148816500497478,0.1308127826502993,0.2860914602211316,0.04756828460010884,0.040003,0.014865088937534014,0.00837,0.004756828460010884,0.000816,0.0017838106725040815,0.000104,0.001,9e-06
Saint Louis,9,Midwest,1.0,0.300502,0.020991,0.00472,0.000929,8e-05,7e-06,0.4288571717793944,1.066588932843404,0.1849972113558172,0.36669488101648806,0.06727171322029717,0.020991,0.021022410381342865,0.00472,0.006727171322029716,0.000929,0.0025226892457611435,8e-05,0.001,7e-06
VCU,11,South,1.0,0.23927,0.036118,0.005554,0.00072,9.9e-05,7e-06,0.30324781432569387,1.1148816500497478,0.1308127826502993,0.3187616296717074,0.04756828460010884,0.036118,0.014865088937534014,0.005554,0.004756828460010884,0.00072,0.0017838106725040815,9.9e-05,0.001,7e-06
Northern Iowa,12,East,1.0,0.168217,0.030368,0.002443,0.000379,4.4e-05,3e-06,0.255,1.146078431372549,0.11,0.23626842272727275,0.04,0.030368,0.0125,0.002443,0.004,0.000379,0.0015,4.4e-05,0.001,3e-06
McNeese,12,South,1.0,0.109126,0.020373,0.001622,0.000126,1.1e-05,1e-06,0.255,1.146078431372549,0.11,0.15327242727272727,0.04,0.020373,0.0125,0.001622,0.004,0.000126,0.0015,1.1e-05,0.001,1e-06
Long Island,16,West,1.0,0.024147,0.002001,0.000157,1.3e-05,0.0,0.0,0.1275,1.342156862745098,0.055,0.04489146818181818,0.02,0.002001,0.00625,0.000157,0.002,1.3e-05,0.001,0.0,0.001,0.0
Siena,16,East,1.0,0.027119,0.002247,0.000216,2.7e-05,2e-06,0.0,0.1275,1.342156862745098,0.055,0.05041668636363636,0.02,0.002247,0.00625,0.000216,0.002,2.7e-05,0.001,2e-06,0.001,0.0
Prairie View A&M,16,South,1.0,0.026156,0.002206,0.000149,1.2e-05,1e-06,0.0,0.1275,1.342156862745098,0.055,0.04862638181818182,0.02,0.002206,0.00625,0.000149,0.002,1.2e-05,0.001,1e-06,0.001,0.0
